"level1" "level2" "level3" "level4" "level5" "level6" "level7" "level8" "level9" "level10" "level11" "level12" "level13" "value"
"11" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "DNA STRAND ELONGATION" "leading strand synthesis" "POLYMERASE SWITCHING" "" "" "" "" "" 14
"12" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "DNA STRAND ELONGATION" "LAGGING STRAND SYNTHESIS" "POLYMERASE SWITCHING" "" "" "" "" "" 14
"13" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC METAPHASE AND ANAPHASE" "mitotic anaphase" "NUCLEAR ENVELOPE NE REASSEMBLY" "INITIATION OF NUCLEAR ENVELOPE NE REFORMATION" "" "" "" "" "" 19
"14" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "regulation of mitotic cell cycle" "APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS" "activation of apc c and apc c cdc20 mediated degradation of mitotic proteins" "apc c cdc20 mediated degradation of mitotic proteins" "APC C CDC20 MEDIATED DEGRADATION OF CYCLIN B" "" "" "" "" "" 48
"15" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA I SIGNALLING EVENTS" "OPIOID SIGNALLING" "G PROTEIN MEDIATED EVENTS" "ADENYLATE CYCLASE INHIBITORY PATHWAY" "" "" "" "" "" 12
"16" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION" "GABA RECEPTOR ACTIVATION" "GABA B RECEPTOR ACTIVATION" "activation of gabab receptors" "ADENYLATE CYCLASE INHIBITORY PATHWAY" "" "" "" "" "" 12
"17" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA I SIGNALLING EVENTS" "OPIOID SIGNALLING" "G PROTEIN MEDIATED EVENTS" "ADENYLATE CYCLASE ACTIVATING PATHWAY" "" "" "" "" "" 9
"18" "IN REACTOME HIERARCHIE" "VESICLE MEDIATED TRANSPORT" "membrane trafficking" "GAP JUNCTION TRAFFICKING AND REGULATION" "gap junction trafficking" "GAP JUNCTION ASSEMBLY" "TRANSPORT OF CONNEXONS TO THE PLASMA MEMBRANE" "" "" "" "" "" "" 10
"19" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE CHECKPOINTS" "G1 S DNA DAMAGE CHECKPOINTS" "p53 dependent g1 s dna damage checkpoint" "p53 dependent g1 dna damage response" "STABILIZATION OF P53" "" "" "" "" "" "" 109
"20" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DOUBLE STRAND BREAK REPAIR" "HOMOLOGY DIRECTED REPAIR" "hdr through homologous recombination hrr or single strand annealing ssa" "HDR THROUGH HOMOLOGOUS RECOMBINATION HRR" "RESOLUTION OF D LOOP STRUCTURES" "" "" "" "" "" "" 33
"21" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "REGULATION OF TP53 ACTIVITY" "REGULATION OF TP53 EXPRESSION AND DEGRADATION" "" "" "" "" "" "" 36
"22" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CHROMOSOME MAINTENANCE" "TELOMERE MAINTENANCE" "EXTENSION OF TELOMERES" "TELOMERE C STRAND LAGGING STRAND SYNTHESIS" "PROCESSIVE SYNTHESIS ON THE C STRAND OF THE TELOMERE" "" "" "" "" "" "" 19
"23" "IN REACTOME HIERARCHIE" "signal transduction" "intracellular signaling by second messengers" "DAG AND IP3 SIGNALING" "cam pathway" "calmodulin induced events" "PKA MEDIATED PHOSPHORYLATION OF CREB" "" "" "" "" "" "" 18
"24" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "regulation of mitotic cell cycle" "APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS" "regulation of apc c activators between g1 s and early anaphase" "INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS" "" "" "" "" "" "" 42
"25" "IN REACTOME HIERARCHIE" "DNA REPAIR" "DNA DOUBLE STRAND BREAK REPAIR" "HOMOLOGY DIRECTED REPAIR" "hdr through homologous recombination hrr or single strand annealing ssa" "HDR THROUGH HOMOLOGOUS RECOMBINATION HRR" "HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE" "" "" "" "" "" "" 42
"26" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA I SIGNALLING EVENTS" "OPIOID SIGNALLING" "G PROTEIN MEDIATED EVENTS" "" "" "" "" "" "" 48
"27" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "REGULATION OF TP53 ACTIVITY" "" "" "" "" "" "" "" 303
"28" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION" "GABA RECEPTOR ACTIVATION" "GABA B RECEPTOR ACTIVATION" "" "" "" "" "" "" "" 27
"29" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RECEPTOR TYROSINE KINASES" "SIGNALING BY NTRKS" "" "" "" "" "" "" "" "" "" 117
"30" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G2 G2 M PHASES" "" "" "" "" "" "" "" "" "" 546
"31" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE CHECKPOINTS" "G1 S DNA DAMAGE CHECKPOINTS" "" "" "" "" "" "" "" "" "" 129
"32" "IN REACTOME HIERARCHIE" "immune system" "INNATE IMMUNE SYSTEM" "COMPLEMENT CASCADE" "" "" "" "" "" "" "" "" "" 20
"33" "IN REACTOME HIERARCHIE" "PROGRAMMED CELL DEATH" "APOPTOSIS" "" "" "" "" "" "" "" "" "" "" 316
"34" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "DNA STRAND ELONGATION" "UNWINDING OF DNA" "" "" "" "" "" "" 24
"35" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION" "glutamate binding activation of ampa receptors and synaptic plasticity" "TRAFFICKING OF AMPA RECEPTORS" "TRAFFICKING OF GLUR2 CONTAINING AMPA RECEPTORS" "" "" "" "" "" "" 12
"36" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "TP53 REGULATES TRANSCRIPTION OF CELL CYCLE GENES" "TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G2 CELL CYCLE ARREST" "" "" "" "" "" "" 34
"37" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "TP53 REGULATES TRANSCRIPTION OF CELL CYCLE GENES" "TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN G1 CELL CYCLE ARREST" "" "" "" "" "" "" 26
"38" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC METAPHASE AND ANAPHASE" "mitotic anaphase" "SEPARATION OF SISTER CHROMATIDS" "" "" "" "" "" "" 714
"39" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "SEMAPHORIN INTERACTIONS" "sema4d in semaphorin signaling" "SEMA4D INDUCED CELL MIGRATION AND GROWTH CONE COLLAPSE" "" "" "" "" "" "" 20
"40" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "rho gtpase cycle" "RHOBTB GTPASE CYCLE" "RHOBTB2 GTPASE CYCLE" "" "" "" "" "" "" 23
"41" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "REGULATION OF TP53 ACTIVITY" "REGULATION OF TP53 ACTIVITY THROUGH PHOSPHORYLATION" "" "" "" "" "" "" 178
"42" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G2 G2 M PHASES" "g2 m transition" "centrosome maturation" "RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES" "" "" "" "" "" "" 153
"43" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "GPCR LIGAND BINDING" "CLASS A 1 RHODOPSIN LIKE RECEPTORS" "eicosanoid ligand binding receptors" "PROSTANOID LIGAND RECEPTORS" "" "" "" "" "" "" 8
"44" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CHROMOSOME MAINTENANCE" "TELOMERE MAINTENANCE" "EXTENSION OF TELOMERES" "TELOMERE C STRAND LAGGING STRAND SYNTHESIS" "POLYMERASE SWITCHING ON THE C STRAND OF THE TELOMERE" "" "" "" "" "" "" 25
"45" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "regulation of mitotic cell cycle" "APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS" "activation of apc c and apc c cdc20 mediated degradation of mitotic proteins" "PHOSPHORYLATION OF THE APC C" "" "" "" "" "" "" 40
"46" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "regulation of mitotic cell cycle" "APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS" "regulation of apc c activators between g1 s and early anaphase" "PHOSPHORYLATION OF EMI1" "" "" "" "" "" "" 6
"47" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "SWITCHING OF ORIGINS TO A POST REPLICATIVE STATE" "ORC1 REMOVAL FROM CHROMATIN" "" "" "" "" "" "" 203
"48" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROPHASE" "NUCLEAR ENVELOPE BREAKDOWN" "NUCLEAR PORE COMPLEX NPC DISASSEMBLY" "" "" "" "" "" "" 34
"49" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC METAPHASE AND ANAPHASE" "mitotic anaphase" "NUCLEAR ENVELOPE NE REASSEMBLY" "" "" "" "" "" "" 193
"50" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "DNA STRAND ELONGATION" "LAGGING STRAND SYNTHESIS" "" "" "" "" "" "" 20
"51" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROPHASE" "NUCLEAR ENVELOPE BREAKDOWN" "ACTIVATION OF NIMA KINASES NEK9 NEK6 NEK7" "" "" "" "" "" "" 7
"52" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "RHO GTPASE EFFECTORS" "RHO GTPASES ACTIVATE PKNS" "ACTIVATED PKN1 STIMULATES TRANSCRIPTION OF AR ANDROGEN RECEPTOR REGULATED GENES KLK2 AND KLK3" "" "" "" "" "" "" 263
"53" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "TP53 REGULATES TRANSCRIPTION OF CELL CYCLE GENES" "" "" "" "" "" "" "" 47
"54" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CHROMOSOME MAINTENANCE" "TELOMERE MAINTENANCE" "EXTENSION OF TELOMERES" "TELOMERE C STRAND LAGGING STRAND SYNTHESIS" "" "" "" "" "" "" "" 33
"55" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "SWITCHING OF ORIGINS TO A POST REPLICATIVE STATE" "" "" "" "" "" "" "" 174
"56" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "rho gtpase cycle" "RHOBTB GTPASE CYCLE" "" "" "" "" "" "" "" 35
"57" "IN REACTOME HIERARCHIE" "cellular responses to stimuli" "cellular responses to stress" "CELLULAR RESPONSE TO CHEMICAL STRESS" "CYTOPROTECTION BY HMOX1" "REGULATION OF HMOX1 EXPRESSION AND ACTIVITY" "" "" "" "" "" "" "" 124
"58" "IN REACTOME HIERARCHIE" "DNA REPLICATION" "synthesis of dna" "DNA STRAND ELONGATION" "LAGGING STRAND SYNTHESIS" "PROCESSIVE SYNTHESIS ON THE LAGGING STRAND" "" "" "" "" "" "" "" 15
"59" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "GPCR LIGAND BINDING" "CLASS A 1 RHODOPSIN LIKE RECEPTORS" "PEPTIDE LIGAND BINDING RECEPTORS" "" "" "" "" "" "" "" 88
"60" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA I SIGNALLING EVENTS" "OPIOID SIGNALLING" "" "" "" "" "" "" "" 74
"61" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "M PHASE" "MITOTIC PROPHASE" "NUCLEAR ENVELOPE BREAKDOWN" "" "" "" "" "" "" "" 50
"62" "IN REACTOME HIERARCHIE" "immune system" "CYTOKINE SIGNALING IN IMMUNE SYSTEM" "SIGNALING BY INTERLEUKINS" "interleukin 1 family signaling" "INTERLEUKIN 1 SIGNALING" "" "" "" "" "" "" "" 91
"63" "IN REACTOME HIERARCHIE" "VESICLE MEDIATED TRANSPORT" "membrane trafficking" "GAP JUNCTION TRAFFICKING AND REGULATION" "gap junction trafficking" "GAP JUNCTION ASSEMBLY" "" "" "" "" "" "" "" 12
"64" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA Q SIGNALLING EVENTS" "EFFECTS OF PIP2 HYDROLYSIS" "" "" "" "" "" "" "" 22
"65" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G1 PHASE AND G1 S TRANSITION" "g1 s transition" "E2F MEDIATED REGULATION OF DNA REPLICATION" "" "" "" "" "" "" "" 22
"66" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "S PHASE" "synthesis of dna" "DNA STRAND ELONGATION" "" "" "" "" "" "" "" 63
"67" "IN REACTOME HIERARCHIE" "metabolism of proteins" "TRANSLATION" "EUKARYOTIC TRANSLATION INITIATION" "cap dependent translation initiation" "ACTIVATION OF THE MRNA UPON BINDING OF THE CAP BINDING COMPLEX AND EIFS AND SUBSEQUENT BINDING TO 43S" "" "" "" "" "" "" "" 176
"68" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "" "" "" "" "" "" "" "" 678
"69" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY RUNX2" "" "" "" "" "" "" "" "" 107
"70" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "SEMAPHORIN INTERACTIONS" "" "" "" "" "" "" "" "" 58
"71" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "gpcr downstream signalling" "G ALPHA Q SIGNALLING EVENTS" "" "" "" "" "" "" "" "" 101
"72" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY GPCR" "GPCR LIGAND BINDING" "CLASS A 1 RHODOPSIN LIKE RECEPTORS" "" "" "" "" "" "" "" "" 146
"73" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION" "ACTIVATION OF NMDA RECEPTORS AND POSTSYNAPTIC EVENTS" "" "" "" "" "" "" "" "" 66
"74" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION" "" "" "" "" "" "" "" "" "" 126
"75" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G1 PHASE AND G1 S TRANSITION" "" "" "" "" "" "" "" "" "" 575
"76" "IN REACTOME HIERARCHIE" "VESICLE MEDIATED TRANSPORT" "membrane trafficking" "GAP JUNCTION TRAFFICKING AND REGULATION" "" "" "" "" "" "" "" "" "" 24
"77" "IN REACTOME HIERARCHIE" "signal transduction" "intracellular signaling by second messengers" "DAG AND IP3 SIGNALING" "" "" "" "" "" "" "" "" "" 38
"78" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "" "" "" "" "" "" "" "" "" "" 1157
"79" "IN REACTOME HIERARCHIE" "metabolism" "METABOLISM OF LIPIDS" "" "" "" "" "" "" "" "" "" "" 524
"80" "IN REACTOME HIERARCHIE" "metabolism" "BIOLOGICAL OXIDATIONS" "" "" "" "" "" "" "" "" "" "" 127
"81" "IN REACTOME HIERARCHIE" "TRANSPORT OF SMALL MOLECULES" "" "" "" "" "" "" "" "" "" "" "" 1059
"82" "IN REACTOME HIERARCHIE" "" "" "" "" "" "" "" "" "" "" "" "" 0
"83" "IN REACTOME HIERARCHIE" "metabolism" "BIOLOGICAL OXIDATIONS" "phase i   functionalization of compounds" "cytochrome p450   arranged by substrate type" "VITAMINS" "" "" "" "" "" "" "" 5
"84" "IN REACTOME HIERARCHIE" "METABOLISM OF RNA" "PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA" "TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM" "TRANSPORT OF MATURE MRNAS DERIVED FROM INTRONLESS TRANSCRIPTS" "TRANSPORT OF THE SLBP DEPENDANT MATURE MRNA" "" "" "" "" "" "" "" 34
"85" "IN REACTOME HIERARCHIE" "NEURONAL SYSTEM" "TRANSMISSION ACROSS CHEMICAL SYNAPSES" "NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION" "glutamate binding activation of ampa receptors and synaptic plasticity" "TRAFFICKING OF AMPA RECEPTORS" "" "" "" "" "" "" "" 22
"86" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY TP53" "TP53 REGULATES TRANSCRIPTION OF DNA REPAIR GENES" "" "" "" "" "" "" "" 61
"87" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CELL CYCLE MITOTIC" "MITOTIC G2 G2 M PHASES" "g2 m transition" "THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT" "" "" "" "" "" "" "" 202
"88" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "transcriptional regulation by the ap 2 tfap2 family of transcription factors" "TFAP2A ACTS AS A TRANSCRIPTIONAL REPRESSOR DURING RETINOIC ACID INDUCED CELL DIFFERENTIATION" "" "" "" "" "" "" "" 4
"89" "IN REACTOME HIERARCHIE" "CELL CYCLE" "CHROMOSOME MAINTENANCE" "TELOMERE MAINTENANCE" "EXTENSION OF TELOMERES" "TELOMERE EXTENSION BY TELOMERASE" "" "" "" "" "" "" "" 22
"90" "IN REACTOME HIERARCHIE" "metabolism" "METABOLISM OF LIPIDS" "phospholipid metabolism" "PI METABOLISM" "SYNTHESIS OF PIPS AT THE PLASMA MEMBRANE" "" "" "" "" "" "" "" 47
"91" "IN REACTOME HIERARCHIE" "metabolism" "METABOLISM OF LIPIDS" "fatty acid metabolism" "arachidonic acid metabolism" "SYNTHESIS OF 16 20 HYDROXYEICOSATETRAENOIC ACIDS HETE" "" "" "" "" "" "" "" 4
"92" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "SUMOYLATION" "sumo e3 ligases sumoylate target proteins" "SUMOYLATION OF UBIQUITINYLATION PROTEINS" "" "" "" "" "" "" "" 37
"93" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "SUMOYLATION" "sumo e3 ligases sumoylate target proteins" "SUMOYLATION OF SUMOYLATION PROTEINS" "" "" "" "" "" "" "" 33
"94" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "SUMOYLATION" "sumo e3 ligases sumoylate target proteins" "SUMOYLATION OF RNA BINDING PROTEINS" "" "" "" "" "" "" "" 89
"95" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "SUMOYLATION" "sumo e3 ligases sumoylate target proteins" "SUMOYLATION OF DNA REPLICATION PROTEINS" "" "" "" "" "" "" "" 88
"96" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "SUMOYLATION" "sumo e3 ligases sumoylate target proteins" "SUMOYLATION OF DNA DAMAGE RESPONSE AND REPAIR PROTEINS" "" "" "" "" "" "" "" 148
"97" "IN REACTOME HIERARCHIE" "metabolism of proteins" "POST TRANSLATIONAL PROTEIN MODIFICATION" "SUMOYLATION" "sumo e3 ligases sumoylate target proteins" "SUMOYLATION OF CHROMATIN ORGANIZATION PROTEINS" "" "" "" "" "" "" "" 65
"98" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY RUNX1" "RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN INTERLEUKIN SIGNALING" "" "" "" "" "" "" "" 4
"99" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY RUNX1" "RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF HSCS" "" "" "" "" "" "" "" 518
"100" "IN REACTOME HIERARCHIE" "gene expression transcription" "RNA POLYMERASE II TRANSCRIPTION" "generic transcription pathway" "TRANSCRIPTIONAL REGULATION BY RUNX1" "RUNX1 REGULATES GENES INVOLVED IN MEGAKARYOCYTE DIFFERENTIATION AND PLATELET FUNCTION" "" "" "" "" "" "" "" 300
"101" "IN REACTOME HIERARCHIE" "DEVELOPMENTAL BIOLOGY" "NERVOUS SYSTEM DEVELOPMENT" "axon guidance" "SIGNALING BY ROBO RECEPTORS" "ROLE OF ABL IN ROBO SLIT SIGNALING" "" "" "" "" "" "" "" 8
"102" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "RHO GTPASE EFFECTORS" "RHO GTPASES ACTIVATE ROCKS" "" "" "" "" "" "" "" 19
"103" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "RHO GTPASE EFFECTORS" "RHO GTPASES ACTIVATE PKNS" "" "" "" "" "" "" "" 282
"104" "IN REACTOME HIERARCHIE" "signal transduction" "SIGNALING BY RHO GTPASES MIRO GTPASES AND RHOBTB3" "signaling by rho gtpases" "RHO GTPASE EFFECTORS" "RHO GTPASES ACTIVATE PAKS" "" "" "" "" "" "" "" 21
