"Node1" "Node2" "level" "size"
"37" "NOT_IN_REACTOME_HIERARCHIE" "RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS" "3" "120"
"38" "NOT_IN_REACTOME_HIERARCHIE" "RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2" "3" "99"
"39" "NOT_IN_REACTOME_HIERARCHIE" "RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "3" "59"
"40" "NOT_IN_REACTOME_HIERARCHIE" "SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21" "3" "56"
"41" "NOT_IN_REACTOME_HIERARCHIE" "SLC_TRANSPORTER_DISORDERS" "3" "63"
"42" "NOT_IN_REACTOME_HIERARCHIE" "TRANSCRIPTIONAL_REGULATION_OF_PLURIPOTENT_STEM_CELLS" "3" "14"
"43" "NOT_IN_REACTOME_HIERARCHIE" "TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_DREAM_COMPLEX" "3" "19"
"44" "NOT_IN_REACTOME_HIERARCHIE" "TRANSCRIPTION_OF_E2F_TARGETS_UNDER_NEGATIVE_CONTROL_BY_P107_RBL1_AND_P130_RBL2_IN_COMPLEX_WITH_HDAC1" "3" "16"
"45" "NOT_IN_REACTOME_HIERARCHIE" "TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL" "3" "41"
"46" "NOT_IN_REACTOME_HIERARCHIE" "TRNA_PROCESSING" "3" "102"
"47" "NOT_IN_REACTOME_HIERARCHIE" "TRNA_PROCESSING_IN_THE_NUCLEUS" "3" "55"
"48" "NOT_IN_REACTOME_HIERARCHIE" "VIRAL_MESSENGER_RNA_SYNTHESIS" "3" "42"
"49" "NOT_IN_REACTOME_HIERARCHIE" "ACTIVATION_OF_AMPK_DOWNSTREAM_OF_NMDARS" "3" "18"
"50" "NOT_IN_REACTOME_HIERARCHIE" "FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC" "3" "17"
"51" "NOT_IN_REACTOME_HIERARCHIE" "HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR" "3" "43"
"52" "NOT_IN_REACTOME_HIERARCHIE" "POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY" "3" "15"
"53" "NOT_IN_REACTOME_HIERARCHIE" "SENSORY_PROCESSING_OF_SOUND" "3" "47"
"54" "NOT_IN_REACTOME_HIERARCHIE" "SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA" "3" "32"
"55" "NOT_IN_REACTOME_HIERARCHIE" "ABC_TRANSPORTER_DISORDERS" "3" "64"
"56" "NOT_IN_REACTOME_HIERARCHIE" "ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION" "3" "274"
"57" "NOT_IN_REACTOME_HIERARCHIE" "DEFECTIVE_B4GALT7_CAUSES_EDS_PROGEROID_TYPE" "3" "17"
"58" "NOT_IN_REACTOME_HIERARCHIE" "DEFECTIVE_EXT2_CAUSES_EXOSTOSES_2" "3" "12"
"59" "NOT_IN_REACTOME_HIERARCHIE" "DEFECTIVE_LFNG_CAUSES_SCDO3" "3" "5"
"60" "NOT_IN_REACTOME_HIERARCHIE" "HEDGEHOG_OFF_STATE" "3" "102"
"61" "NOT_IN_REACTOME_HIERARCHIE" "NOTCH4_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION" "3" "19"
"62" "NOT_IN_REACTOME_HIERARCHIE" "PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM" "3" "6"
"63" "NOT_IN_REACTOME_HIERARCHIE" "RESPONSE_OF_MTB_TO_PHAGOCYTOSIS" "3" "20"
"64" "NOT_IN_REACTOME_HIERARCHIE" "TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE" "3" "61"
"65" "root1" "IN_REACTOME_HIERARCHIE" "2" NA
"66" "IN_REACTOME_HIERARCHIE" "HEMOSTASIS" "3" "492"
"67" "HEMOSTASIS" "FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE" "4" NA
"68" "FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE" "EXTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION" "5" NA
"69" "FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE" "INTRINSIC_PATHWAY_OF_FIBRIN_CLOT_FORMATION" "5" NA
"70" "FORMATION_OF_FIBRIN_CLOT_CLOTTING_CASCADE" "COMMON_PATHWAY_OF_FIBRIN_CLOT_FORMATION" "5" NA
"71" "HEMOSTASIS" "CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL" "4" NA
"72" "CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL" "PECAM1_INTERACTIONS" "5" NA
"73" "CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL" "BASIGIN_INTERACTIONS" "5" NA
"74" "CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL" "TIE2_SIGNALING" "5" NA
"75" "HEMOSTASIS" "PLATELET_HOMEOSTASIS" "4" "66"
"76" "PLATELET_HOMEOSTASIS" "NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "5" NA
"77" "NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE" "CGMP_EFFECTS" "6" NA
"78" "PLATELET_HOMEOSTASIS" "PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR" "5" NA
"79" "PLATELET_HOMEOSTASIS" "PLATELET_CALCIUM_HOMEOSTASIS" "5" "22"
"80" "PLATELET_CALCIUM_HOMEOSTASIS" "ELEVATION_OF_CYTOSOLIC_CA2+_LEVELS" "6" NA
"81" "PLATELET_CALCIUM_HOMEOSTASIS" "REDUCTION_OF_CYTOSOLIC_CA++_LEVELS" "6" NA
"82" "PLATELET_HOMEOSTASIS" "PLATELET_SENSITIZATION_BY_LDL" "5" NA
"83" "HEMOSTASIS" "DISSOLUTION_OF_FIBRIN_CLOT" "4" NA
"84" "HEMOSTASIS" "PLATELET_ADHESION_TO_EXPOSED_COLLAGEN" "4" "12"
"85" "HEMOSTASIS" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "4" "228"
"86" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "EFFECTS_OF_PIP2_HYDROLYSIS" "5" "22"
"87" "EFFECTS_OF_PIP2_HYDROLYSIS" "ARACHIDONATE_PRODUCTION_FROM_DAG" "6" NA
"88" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "GPVI_MEDIATED_ACTIVATION_CASCADE" "5" NA
"89" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "SIGNAL_AMPLIFICATION" "5" NA
"90" "SIGNAL_AMPLIFICATION" "ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_12" "6" NA
"91" "SIGNAL_AMPLIFICATION" "ADP_SIGNALLING_THROUGH_P2Y_PURINOCEPTOR_1" "6" NA
"92" "SIGNAL_AMPLIFICATION" "THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR" "6" NA
"93" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "GP1B_IX_V_ACTIVATION_SIGNALLING" "5" "11"
"94" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS" "5" NA
"95" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2+" "5" NA
"96" "RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2+" "DISINHIBITION_OF_SNARE_FORMATION" "6" "5"
"97" "RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2+" "PLATELET_DEGRANULATION_" "6" NA
"98" "PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION" "PLATELET_AGGREGATION_PLUG_FORMATION" "5" "27"
"99" "PLATELET_AGGREGATION_PLUG_FORMATION" "INTEGRIN_SIGNALING" "6" NA
"100" "INTEGRIN_SIGNALING" "GRB2_SOS_PROVIDES_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS_" "7" NA
"101" "INTEGRIN_SIGNALING" "P130CAS_LINKAGE_TO_MAPK_SIGNALING_FOR_INTEGRINS" "7" NA
"102" "PLATELET_AGGREGATION_PLUG_FORMATION" "ADRENALINE_SIGNALLING_THROUGH_ALPHA_2_ADRENERGIC_RECEPTOR" "6" NA
"103" "HEMOSTASIS" "FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION" "4" "124"
"104" "FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION" "KINESINS" "5" "46"
"105" "IN_REACTOME_HIERARCHIE" "NEURONAL_SYSTEM" "3" "237"
"106" "NEURONAL_SYSTEM" "TRANSMISSION_ACROSS_ELECTRICAL_SYNAPSES_" "4" NA
"107" "TRANSMISSION_ACROSS_ELECTRICAL_SYNAPSES_" "ELECTRIC_TRANSMISSION_ACROSS_GAP_JUNCTIONS" "5" NA
"108" "NEURONAL_SYSTEM" "TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES" "4" "162"
"109" "TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES" "PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING" "5" NA
"110" "TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES" "NEUROTRANSMITTER_RELEASE_CYCLE" "5" NA
"111" "NEUROTRANSMITTER_RELEASE_CYCLE" "SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE" "6" NA
"112" "NEUROTRANSMITTER_RELEASE_CYCLE" "NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE" "6" NA
"113" "NEUROTRANSMITTER_RELEASE_CYCLE" "GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE" "6" NA
"114" "NEUROTRANSMITTER_RELEASE_CYCLE" "DOPAMINE_NEUROTRANSMITTER_RELEASE_CYCLE" "6" NA
"115" "NEUROTRANSMITTER_RELEASE_CYCLE" "ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE" "6" NA
"116" "NEUROTRANSMITTER_RELEASE_CYCLE" "GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION" "6" NA
"117" "GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION" "GABA_SYNTHESIS" "7" NA
"118" "GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION" "REUPTAKE_OF_GABA" "7" NA
"119" "GABA_SYNTHESIS_RELEASE_REUPTAKE_AND_DEGRADATION" "DEGRADATION_OF_GABA" "7" NA
"120" "TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES" "NEUROTRANSMITTER_CLEARANCE" "5" NA
"121" "NEUROTRANSMITTER_CLEARANCE" "DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT" "6" NA
"122" "DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT" "ENZYMATIC_DEGRADATION_OF_DOPAMINE_BY_COMT" "7" NA
"123" "DOPAMINE_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT" "ENZYMATIC_DEGRADATION_OF_DOPAMINE_BY_MONOAMINE_OXIDASE" "7" NA
"124" "NEUROTRANSMITTER_CLEARANCE" "SEROTONIN_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT" "6" NA
"125" "SEROTONIN_CLEARANCE_FROM_THE_SYNAPTIC_CLEFT" "METABOLISM_OF_SEROTONIN" "7" NA
"126" "TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES" "NEUROTRANSMITTER_UPTAKE_AND_METABOLISM_IN_GLIAL_CELLS" "5" NA
"127" "NEUROTRANSMITTER_UPTAKE_AND_METABOLISM_IN_GLIAL_CELLS" "ASTROCYTIC_GLUTAMATE_GLUTAMINE_UPTAKE_AND_METABOLISM" "6" NA
"128" "TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES" "NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION" "5" "126"
"129" "NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION" "ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS" "6" NA
"130" "ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS" "PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "7" NA
"131" "PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS" "8" NA
"132" "PRESYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "8" NA
"133" "ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS" "POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "7" NA
"134" "POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "HIGHLY_SODIUM_PERMEABLE_POSTSYNAPTIC_ACETYLCHOLINE_NICOTINIC_RECEPTORS" "8" NA
"135" "POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "HIGHLY_CALCIUM_PERMEABLE_POSTSYNAPTIC_NICOTINIC_ACETYLCHOLINE_RECEPTORS" "8" NA
"136" "NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION" "GLUTAMATE_BINDING_ACTIVATION_OF_AMPA_RECEPTORS_AND_SYNAPTIC_PLASTICITY" "6" NA
"137" "GLUTAMATE_BINDING_ACTIVATION_OF_AMPA_RECEPTORS_AND_SYNAPTIC_PLASTICITY" "ACTIVATION_OF_AMPA_RECEPTORS" "7" NA
"138" "GLUTAMATE_BINDING_ACTIVATION_OF_AMPA_RECEPTORS_AND_SYNAPTIC_PLASTICITY" "TRAFFICKING_OF_AMPA_RECEPTORS" "7" "22"
"139" "TRAFFICKING_OF_AMPA_RECEPTORS" "TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS" "8" "12"
"140" "NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION" "ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS" "6" "66"
"141" "ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS" "POST_NMDA_RECEPTOR_ACTIVATION_EVENTS" "7" NA
"142" "POST_NMDA_RECEPTOR_ACTIVATION_EVENTS" "CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_ADENYLATE_CYCLASE" "8" NA
"143" "POST_NMDA_RECEPTOR_ACTIVATION_EVENTS" "CREB1_PHOSPHORYLATION_THROUGH_THE_ACTIVATION_OF_CAMKII_CAMKK_CAMKIV_CASCASDE" "8" NA
"144" "POST_NMDA_RECEPTOR_ACTIVATION_EVENTS" "ACTIVATION_OF_RAC1_DOWNSTREAM_OF_NMDARS" "8" NA
"145" "ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS" "UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION" "7" NA
"146" "ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS" "ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS" "7" "27"
"147" "NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION" "ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING" "6" NA
"148" "ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING" "IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS" "7" NA
"149" "IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS" "ACTIVATION_OF_NA_PERMEABLE_KAINATE_RECEPTORS" "8" NA
"150" "IONOTROPIC_ACTIVITY_OF_KAINATE_RECEPTORS" "ACTIVATION_OF_CA_PERMEABLE_KAINATE_RECEPTOR" "8" NA
"151" "ACTIVATION_OF_KAINATE_RECEPTORS_UPON_GLUTAMATE_BINDING" "PRESYNAPTIC_FUNCTION_OF_KAINATE_RECEPTORS" "7" NA
"152" "NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION" "GABA_RECEPTOR_ACTIVATION" "6" "31"
"153" "GABA_RECEPTOR_ACTIVATION" "GABA_B_RECEPTOR_ACTIVATION" "7" "27"
"154" "GABA_B_RECEPTOR_ACTIVATION" "ACTIVATION_OF_GABAB_RECEPTORS" "8" NA
"155" "ACTIVATION_OF_GABAB_RECEPTORS" "ADENYLATE_CYCLASE_INHIBITORY_PATHWAY" "9" "12"
"156" "ACTIVATION_OF_GABAB_RECEPTORS" "INHIBITION__OF_VOLTAGE_GATED_CA2+_CHANNELS_VIA_GBETA_GAMMA_SUBUNITS" "9" NA
"157" "NEURONAL_SYSTEM" "POTASSIUM_CHANNELS" "4" "48"
"158" "POTASSIUM_CHANNELS" "CA2+_ACTIVATED_K+_CHANNELS" "5" NA
"159" "POTASSIUM_CHANNELS" "HCN_CHANNELS" "5" NA
"160" "POTASSIUM_CHANNELS" "INWARDLY_RECTIFYING_K+_CHANNELS" "5" NA
"161" "INWARDLY_RECTIFYING_K+_CHANNELS" "ATP_SENSITIVE_POTASSIUM_CHANNELS" "6" NA
"162" "INWARDLY_RECTIFYING_K+_CHANNELS" "CLASSICAL_KIR_CHANNELS" "6" NA
"163" "INWARDLY_RECTIFYING_K+_CHANNELS" "G_PROTEIN_GATED_POTASSIUM_CHANNELS" "6" NA
"164" "G_PROTEIN_GATED_POTASSIUM_CHANNELS" "ACTIVATION_OF_G_PROTEIN_GATED_POTASSIUM_CHANNELS" "7" NA
"165" "INWARDLY_RECTIFYING_K+_CHANNELS" "POTASSIUM_TRANSPORT_CHANNELS" "6" NA
"166" "POTASSIUM_CHANNELS" "VOLTAGE_GATED_POTASSIUM_CHANNELS" "5" NA
"167" "POTASSIUM_CHANNELS" "TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS" "5" NA
"168" "TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS" "TANDEM_PORE_DOMAIN_HALOTHANE_INHIBITED_K+_CHANNEL_THIK" "6" NA
"169" "TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS" "TANDEM_OF_PORE_DOMAIN_IN_A_WEAK_INWARDLY_RECTIFYING_K+_CHANNELS_TWIK" "6" NA
"170" "TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS" "TWIK_RELEATED_ACID_SENSITIVE_K+_CHANNEL_TASK" "6" NA
"171" "TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS" "TWIK_RELATED_SPINAL_CORD_K+_CHANNEL_TRESK" "6" NA
"172" "TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS" "TWIK_RELATED_ALKALINE_PH_ACTIVATED_K+_CHANNEL_TALK" "6" NA
"173" "TANDEM_PORE_DOMAIN_POTASSIUM_CHANNELS" "TWIK_RELATED_POTASSIUM_CHANNEL_TREK" "6" NA
"174" "NEURONAL_SYSTEM" "PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES" "4" "72"
"175" "PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES" "RECEPTOR_TYPE_TYROSINE_PROTEIN_PHOSPHATASES" "5" "13"
"176" "PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES" "NEUREXINS_AND_NEUROLIGINS" "5" "37"
"177" "PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES" "SYNAPTIC_ADHESION_LIKE_MOLECULES" "5" NA
"178" "IN_REACTOME_HIERARCHIE" "DEVELOPMENTAL_BIOLOGY" "3" "803"
"179" "DEVELOPMENTAL_BIOLOGY" "SIGNALING_BY_NODAL" "4" NA
"180" "DEVELOPMENTAL_BIOLOGY" "REGULATION_OF_BETA_CELL_DEVELOPMENT" "4" NA
"181" "REGULATION_OF_BETA_CELL_DEVELOPMENT" "REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS" "5" NA
"182" "REGULATION_OF_GENE_EXPRESSION_IN_BETA_CELLS" "AKT_MEDIATED_INACTIVATION_OF_FOXO1A" "6" NA
"183" "DEVELOPMENTAL_BIOLOGY" "TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION" "4" NA
"184" "DEVELOPMENTAL_BIOLOGY" "MYOGENESIS" "4" NA
"185" "DEVELOPMENTAL_BIOLOGY" "LGI_ADAM_INTERACTIONS" "4" NA
"186" "DEVELOPMENTAL_BIOLOGY" "KERATINIZATION" "4" NA
"187" "KERATINIZATION" "FORMATION_OF_THE_CORNIFIED_ENVELOPE" "5" NA
"188" "DEVELOPMENTAL_BIOLOGY" "TRANSCRIPTIONAL_REGULATION_OF_GRANULOPOIESIS" "4" "63"
"189" "DEVELOPMENTAL_BIOLOGY" "NERVOUS_SYSTEM_DEVELOPMENT" "4" "495"
"190" "NERVOUS_SYSTEM_DEVELOPMENT" "AXON_GUIDANCE" "5" NA
"191" "AXON_GUIDANCE" "EPH_EPHRIN_SIGNALING" "6" NA
"192" "EPH_EPHRIN_SIGNALING" "EPHB_MEDIATED_FORWARD_SIGNALING" "7" NA
"193" "EPH_EPHRIN_SIGNALING" "EPHA_MEDIATED_GROWTH_CONE_COLLAPSE" "7" "22"
"194" "EPH_EPHRIN_SIGNALING" "EPHRIN_SIGNALING" "7" NA
"195" "EPH_EPHRIN_SIGNALING" "EPH_EPHRIN_MEDIATED_REPULSION_OF_CELLS" "7" NA
"196" "AXON_GUIDANCE" "NETRIN_1_SIGNALING" "6" NA
"197" "NETRIN_1_SIGNALING" "DSCAM_INTERACTIONS" "7" NA
"198" "NETRIN_1_SIGNALING" "DCC_MEDIATED_ATTRACTIVE_SIGNALING" "7" NA
"199" "AXON_GUIDANCE" "SEMAPHORIN_INTERACTIONS" "6" "58"
"200" "SEMAPHORIN_INTERACTIONS" "SEMA3A_PAK_DEPENDENT_AXON_REPULSION" "7" NA
