"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"	"gene_symbols"
"REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES"	0.239608861281634	0.87796654130463	0.355555555555556	1.2024741116566	9874	11	"Col6a3, Col15a1, Col5a3, Col6a1, Serpinh1, Col3a1, Col5a1, Adamts2, Col4a2, Col6a2, Col4a1"
"REACTOME_COLLAGEN_CHAIN_TRIMERIZATION"	0.347450794403604	0.87796654130463	0.347826086956522	1.08788875151978	14651	9	"Col6a3, Col15a1, Col5a3, Col6a1, Col3a1, Col5a1, Col4a2, Col6a2, Col4a1"
"REACTOME_COLLAGEN_DEGRADATION"	0.347450794403604	0.87796654130463	0.347826086956522	1.08788875151978	14651	9	"Col6a3, Col15a1, Col5a3, Col6a1, Col3a1, Col5a1, Col4a2, Col6a2, Col4a1"
"REACTOME_COLLAGEN_FORMATION"	0.198062063044278	0.87796654130463	0.359550561797753	1.25510727215758	8073	12	"Col6a3, Col15a1, Col5a3, Col6a1, Serpinh1, Col3a1, Col5a1, Loxl2, Adamts2, Col4a2, Col6a2, Col4a1"
"REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS"	0.22331156699162	0.87796654130463	-0.63265306122449	-1.23886184661476	12071	3	"Col4a1, Col4a2, Loxl2"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	0.93342658791835	0.98067559065999	-0.197950482481206	-0.574657778379042	54050	9	"Dlg2, Cul1, Pdgfrb, Mef2c, Kitl, Calm1, Hsp90b1"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX"	0.782879714661911	0.934186286660653	-0.218390804597701	-0.735838351905877	46971	14	"Adamts5, Col4a1, Col6a2, Col4a2, Nid1, Col5a1, Lamc1, Eln, Col3a1, Htra1, Col6a1, Col5a3, Col15a1, Col6a3"
"REACTOME_DEVELOPMENTAL_BIOLOGY"	0.33255371645934	0.87796654130463	0.271909196313486	1.09680804191509	12938	18	"Upf3b, Nr6a1, Col6a3, Ret, Sema5a, Sema6d, Col5a3, Col6a1, Col3a1, Lamc1, Mef2c, Col5a1, Itga1, Ebf1, Col4a2, Col6a2, Col4a1"
"REACTOME_DISEASE"	0.253865701141025	0.87796654130463	-0.346892291207838	-1.1937663185653	15284	15	"Thsd7a, Adamts5, Ogn"
"REACTOME_DISEASES_ASSOCIATED_WITH_GLYCOSAMINOGLYCAN_METABOLISM"	0.539817606688988	0.87796654130463	-0.481050220055861	-0.941993013958363	29181	3	"Ogn"
"REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS"	0.0799354701460786	0.87796654130463	-0.584032889213118	-1.46873170273312	4508	6	"Thsd7a, Adamts5"
"REACTOME_DISEASES_OF_GLYCOSYLATION"	0.0469208717576762	0.87796654130463	-0.544032095902243	-1.5793458630633	2716	9	"Thsd7a, Adamts5, Ogn"
"REACTOME_DISEASES_OF_METABOLISM"	0.0469208717576762	0.87796654130463	-0.544032095902243	-1.5793458630633	2716	9	"Thsd7a, Adamts5, Ogn"
"REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS"	0.386927558855027	0.87796654130463	-0.494845360824742	-1.07724673288846	21316	4	"Cul1, Pdgfrb, Kitl, Calm1"
"REACTOME_ECM_PROTEOGLYCANS"	0.15961323912235	0.87796654130463	0.363636363636364	1.30655101491184	6437	13	"Col6a3, Aspn, Col5a3, Col6a1, Lama4, Sparc, Col3a1, Lamc1, Fmod, Col5a1, Col4a2, Col6a2, Col4a1"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	0.17463628442426	0.87796654130463	0.294531039592392	1.26820166383571	6613	22	"Col6a3, Col15a1, Aspn, Col5a3, Col6a1, Htra1, Lama4, Sparc, Serpinh1, Col3a1, Eln, Lamc1, Fmod, Col5a1, Itga1, Loxl2, Adamts2, Nid1, Col4a2, Col6a2, Col4a1"
"REACTOME_FLT3_SIGNALING"	0.95615870089349	0.98067559065999	-0.218588885004922	-0.549709496162743	53934	6	"Dlg2"
"REACTOME_G_ALPHA_I_SIGNALLING_EVENTS"	0.525741029641186	0.87796654130463	-0.378947368421053	-0.95298060083084	29655	6	"Apoe, Pde1c, Rgs5, Calm1, S1pr3, Gpc6"
"REACTOME_GLYCOSAMINOGLYCAN_METABOLISM"	0.854881745412303	0.977007709042632	-0.31395234696975	-0.683454199696148	47097	4	"Ogn"
"REACTOME_HEMOSTASIS"	0.989094746716698	0.992197293909134	0.155397880049967	0.464097095437017	42174	8	"Dock9, Angpt1, Igf1, Sparc"
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.404893109080792	0.87796654130463	-0.447916666666667	-1.05624763691172	22556	5	"Cul1, Anpep, Mef2c, Calm1, Hsp90b1"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS"	0.347450794403604	0.87796654130463	0.347826086956522	1.08788875151978	14651	9	"Col6a3, Col5a3, Col6a1, Col3a1, Col5a1, Itga1, Col4a2, Col6a2, Col4a1"
"REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS"	0.386927558855027	0.87796654130463	-0.494845360824742	-1.07724673288846	21316	4	"Pde1c, Pdgfrb, Kitl, Calm1"
"REACTOME_ION_CHANNEL_TRANSPORT"	0.576147614761476	0.87796654130463	0.368622838106762	0.906941339871146	25603	5	"Ano5, Ryr2"
"REACTOME_ION_HOMEOSTASIS"	0.386744112913668	0.87796654130463	-0.549187570971699	-1.07541964152522	20906	3	"Ryr3"
"REACTOME_KERATAN_SULFATE_BIOSYNTHESIS"	0.778427273904438	0.934186286660653	-0.388545309931393	-0.760849807987111	42080	3	"Ogn"
"REACTOME_KERATAN_SULFATE_KERATIN_METABOLISM"	0.778427273904438	0.934186286660653	-0.388545309931393	-0.760849807987111	42080	3	"Ogn"
"REACTOME_LAMININ_INTERACTIONS"	0.609009360374415	0.87796654130463	-0.352848881299751	-0.887347866550974	34352	6	"Col4a1, Col4a2, Nid1, Itga1"
"REACTOME_MAPK_FAMILY_SIGNALING_CASCADES"	0.95615870089349	0.98067559065999	-0.218588885004922	-0.549709496162743	53934	6	"Dlg2"
"REACTOME_MET_ACTIVATES_PTK2_SIGNALING"	0.333460846084608	0.87796654130463	0.447916666666667	1.10203194111275	14818	5	"Col5a3, Lama4, Col3a1, Lamc1, Col5a1"
"REACTOME_MET_PROMOTES_CELL_MOTILITY"	0.333460846084608	0.87796654130463	0.447916666666667	1.10203194111275	14818	5	"Col5a3, Lama4, Col3a1, Lamc1, Col5a1"
"REACTOME_METABOLISM_OF_CARBOHYDRATES"	0.885282978226921	0.98067559065999	-0.273687151609694	-0.64539104850048	49319	5	"Ogn"
"REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS"	0.794058343661555	0.934186286660653	-0.383303430016677	-0.750585153583465	42925	3	"Apoe"
"REACTOME_MITOCHONDRIAL_BIOGENESIS"	0.496822720788484	0.87796654130463	0.489795918367347	0.981857570630239	22985	3	"Crtc1, Calm1, Mef2c"
"REACTOME_MUSCLE_CONTRACTION"	0.516925925253662	0.87796654130463	-0.439904667511706	-0.957644353924138	28478	4	"Ryr3"
"REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH"	0.410436210131332	0.87796654130463	0.344086021505376	1.02761584076808	17500	8	"Col6a3, Col5a3, Col6a1, Col3a1, Col5a1, Col4a2, Col6a2, Col4a1"
"REACTOME_NCAM1_INTERACTIONS"	0.410436210131332	0.87796654130463	0.344086021505376	1.02761584076808	17500	8	"Col6a3, Col5a3, Col6a1, Col3a1, Col5a1, Col4a2, Col6a2, Col4a1"
"REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"	0.574043846211798	0.87796654130463	0.239486980083027	0.908055702349098	22858	15	"Upf3b, Col6a3, Ret, Sema5a, Sema6d, Col5a3, Col6a1, Col3a1, Lamc1, Col5a1, Itga1, Col4a2, Col6a2, Col4a1"
"REACTOME_NEURONAL_SYSTEM"	0.657715711439393	0.893762966451282	-0.356388213273891	-0.840411255279045	36641	5	"Dlg2, Epb41l5, Chrna7"
"REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION"	0.246915407240238	0.87796654130463	-0.619541729975023	-1.21318722486891	13347	3	"Dlg2, Chrna7"
"REACTOME_NON_INTEGRIN_MEMBRANE_ECM_INTERACTIONS"	0.481771074303692	0.87796654130463	0.340425531914894	0.963692533504515	20825	7	"Col5a3, Lama4, Col3a1, Lamc1, Col5a1, Col4a2, Col4a1"
"REACTOME_O_GLYCOSYLATION_OF_TSR_DOMAIN_CONTAINING_PROTEINS"	0.0799354701460786	0.87796654130463	-0.584032889213118	-1.46873170273312	4508	6	"Thsd7a, Adamts5"
"REACTOME_O_LINKED_GLYCOSYLATION"	0.201058385266163	0.87796654130463	-0.453579700365406	-1.26248520786146	11549	8	"Thsd7a, Adamts5"
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE"	0.496822720788484	0.87796654130463	0.489795918367347	0.981857570630239	22985	3	"Crtc1, Calm1, Mef2c"
"REACTOME_OTHER_SEMAPHORIN_INTERACTIONS"	0.708879090476808	0.917754735119156	0.403851115310545	0.809570394740879	32796	3	"Sema5a, Sema6d, Itga1"
"REACTOME_PEPTIDE_HORMONE_METABOLISM"	0.927138719578092	0.98067559065999	0.306122448979592	0.613660981643899	42894	3	"Igf1, Anpep, Inhbb"
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION"	0.399537457312065	0.87796654130463	0.530612244897959	1.06367903484943	18484	3	"Igf1, Sparc, Calm1"
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"	0.546168341708543	0.87796654130463	-0.264061303408689	-0.927467149162856	33040	16	"Thsd7a, Adamts5"
"REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES"	0.605087969567285	0.87796654130463	0.444444530733902	0.890945005587001	27994	3	"Ptprd"
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS_"	0.914577013516182	0.98067559065999	-0.260416666666667	-0.61409746332077	50951	5	"Apoe, Lamc1, Hsp90b1, Fstl1, Igf1"
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2_"	0.399537457312065	0.87796654130463	0.530612244897959	1.06367903484943	18484	3	"Igf1, Sparc, Calm1"
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION"	0.580896641065976	0.87796654130463	0.31687927521237	0.89703668766192	25110	7	"Upf3b, Ndrg1, Nr6a1"
"REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS"	0.465437705300569	0.87796654130463	-0.427083333333333	-1.00711983984606	25929	5	"Apoe, Col4a1, Col4a2, Hsp90b1, Col3a1"
"REACTOME_SEMAPHORIN_INTERACTIONS"	0.897591345542991	0.98067559065999	-0.294785311323495	-0.641728787751957	49450	4	"Sema3a"
"REACTOME_SIGNALING_BY_GPCR"	0.438332805962803	0.87796654130463	-0.382978723404255	-1.01638888043249	24934	7	"Apoe, Pde1c, Rgs5, Calm1, Olfr558, S1pr3, Gpc6"
"REACTOME_SIGNALING_BY_INTERLEUKINS"	0.65915018775782	0.893762966451282	-0.438775510204082	-0.859210635555399	35632	3	"Cul1, Mef2c, Hsp90b1"
"REACTOME_SIGNALING_BY_MET"	0.333460846084608	0.87796654130463	0.447916666666667	1.10203194111275	14818	5	"Col5a3, Lama4, Col3a1, Lamc1, Col5a1"
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS"	0.736417617787972	0.934186286660653	-0.408163265306122	-0.799265707493395	39809	3	"Apoe, Calm1, S1pr3"
"REACTOME_SIGNALING_BY_PDGF"	0.898635344074791	0.98067559065999	-0.208791208791209	-0.628812237541558	52482	10	"Pdgfc, Col4a1, Col6a2, Col4a2, Col5a1, Pdgfrb, Col3a1, Col6a1, Col5a3, Col6a3"
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"	0.671020114237083	0.894693485649444	-0.228915662650602	-0.833032737099213	40999	18	"Pdgfc, Apoe, Col4a1, Col6a2, Col4a2, Col5a1, Pdgfrb, Mef2c, Kitl, Lamc1, Calm1, Col3a1, Sparc, Lama4, Col6a1, Col5a3, Igf1, Col6a3"
"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT"	0.36833829704582	0.87796654130463	-0.556820731640787	-1.09036690425357	19911	3	"Slc7a8, Slc40a1"
"REACTOME_STIMULI_SENSING_CHANNELS"	0.576147614761476	0.87796654130463	0.368622838106762	0.906941339871146	25603	5	"Ano5, Ryr2"
"REACTOME_SYNDECAN_INTERACTIONS"	0.614576578913241	0.87796654130463	0.438775510204082	0.879580740356256	28433	3	"Col5a3, Col3a1, Col5a1"
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES"	0.65915018775782	0.893762966451282	-0.438775510204082	-0.859210635555399	35632	3	"Cul1, Mef2c, Hsp90b1"
"REACTOME_TRANSCRIPTIONAL_ACTIVATION_OF_MITOCHONDRIAL_BIOGENESIS"	0.496822720788484	0.87796654130463	0.489795918367347	0.981857570630239	22985	3	"Crtc1, Calm1, Mef2c"
"REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES"	0.246915407240238	0.87796654130463	-0.619541729975023	-1.21318722486891	13347	3	"Dlg2, Chrna7"
"REACTOME_TRANSPORT_OF_SMALL_MOLECULES"	0.268538666114047	0.87796654130463	-0.406649751983521	-1.18051969423932	15549	9	"Ryr3, Slc7a8, Apoe, Cul1, Clcn5, Slc40a1"
"REACTOME_VESICLE_MEDIATED_TRANSPORT"	0.431083104132577	0.87796654130463	-0.365591397849462	-1.01758022136906	24763	8	"Apoe, Kif26b, Col4a1, Col4a2, Calm1, Hsp90b1, Col3a1, Sparc"
"REACTOME_VISUAL_PHOTOTRANSDUCTION"	0.794058343661555	0.934186286660653	-0.383303430016677	-0.750585153583465	42925	3	"Apoe"
