"pathway"	"pval"	"padj"	"ES"	"NES"	"nMoreExtreme"	"size"	"gene_symbols"
"REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM"	0.0334143825523136	0.608483986543774	-0.5603480109661	-1.66996444367314	906	8	"Ciita, Lifr, H2-Aa"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX"	0.311224873898969	0.670915057282418	-0.579710144927536	-1.14540624587159	12401	3	"Fbn1, Col4a2, Adam8"
"REACTOME_DEVELOPMENTAL_BIOLOGY"	0.247482880577922	0.670915057282418	0.599595709347113	1.20979100022025	16443	5	"Egr2, Shtn1, Rgmb"
"REACTOME_DISEASE"	0.992420513830101	0.994631673128542	0.1892932349824	0.420001051563219	70573	7	"Cyp27a1, Cysltr1, Fcgr4"
"REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION"	0.875640607873922	0.969739219718214	-0.27632899766547	-0.677004006541819	29558	5	"Fbn1, Itgax, Col4a2, Adam8"
"REACTOME_HEMOSTASIS"	0.908722737052297	0.969739219718214	0.276923076923077	0.61443285873702	64621	7	"Cd74, P2ry12, Rasgrp1, Pdpn, Ehd2, Cav1"
"REACTOME_INFECTIOUS_DISEASE"	0.782455501885794	0.969739219718214	0.434782608695652	0.762814564808565	47300	3	"Cysltr1, Fcgr4, Nt5e"
"REACTOME_INNATE_IMMUNE_SYSTEM"	0.404587998300741	0.766587786254036	0.465038629045945	1.07060373040367	29523	8	"C4b, Clec12a"
"REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS"	0.179452432934327	0.670915057282418	-0.652173913043478	-1.28858202660554	7150	3	"Fbn1, Itgax, Col4a2"
"REACTOME_INTERFERON_GAMMA_SIGNALING"	0.0787681535978995	0.608483986543774	-0.664148141027511	-1.4799268089494	2879	4	"Ciita, H2-Aa, Ifngr1"
"REACTOME_INTERFERON_SIGNALING"	0.0787681535978995	0.608483986543774	-0.664148141027511	-1.4799268089494	2879	4	"Ciita, H2-Aa, Ifngr1"
"REACTOME_LEISHMANIA_INFECTION"	0.782455501885794	0.969739219718214	0.434782608695652	0.762814564808565	47300	3	"Cysltr1, Fcgr4, Nt5e"
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES"	0.299808112221266	0.670915057282418	0.662363777752057	1.16209969480305	18123	3	"Aspa, Serinc3"
"REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION"	0.713739826639317	0.951653102185756	0.473270730271185	0.830340954141425	43146	3	"Cd74, H2-Ab1"
"REACTOME_NERVOUS_SYSTEM_DEVELOPMENT"	0.247482880577922	0.670915057282418	0.599595709347113	1.20979100022025	16443	5	"Egr2, Shtn1, Rgmb"
"REACTOME_NEUTROPHIL_DEGRANULATION"	0.915864818622757	0.969739219718214	0.321320441431219	0.609691467048503	58346	4	"Clec12a, Fcgr4, Adam8"
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION"	0.840749685701052	0.969739219718214	0.405797101449275	0.711960260487994	50824	3	"P2ry12, Rasgrp1, Pdpn"
"REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION"	0.260576416585146	0.670915057282418	0.593550781986101	1.19759428399241	17313	5	"C4b, Fbxl20, Fcgr4"
"REACTOME_RHO_GTPASE_CYCLE"	0.689125256401773	0.951653102185756	0.484473108973678	0.849995230701379	41658	3	"Arhgef6, Fgd2, Rhov"
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION"	0.0503400336269417	0.608483986543774	-0.774897763009151	-1.53106297246799	2005	3	"Lifr, Hdac9"
"REACTOME_SIGNALING_BY_GPCR"	0.28357287982542	0.670915057282418	0.582089552238806	1.17446921424361	18841	5	"Arhgef6, Cysltr1, P2ry12, Fgd2, Rasgrp1"
"REACTOME_SIGNALING_BY_INTERLEUKINS"	0.316820999272253	0.670915057282418	-0.575268592765055	-1.13663051263182	12624	3	"Lifr"
"REACTOME_SIGNALING_BY_RECEPTOR_TYROSINE_KINASES"	0.497716106550301	0.853227611229087	0.529028059381894	1.00380757662881	31707	4	"Egr2, Spint1, Col4a2, Cav1"
"REACTOME_SIGNALING_BY_RHO_GTPASES"	0.689125256401773	0.951653102185756	0.484473108973678	0.849995230701379	41658	3	"Arhgef6, Fgd2, Rhov"
"REACTOME_VESICLE_MEDIATED_TRANSPORT"	0.0845116647977464	0.608483986543774	-0.661764705882353	-1.47461578065494	3089	4	"Scarf1, Hsph1, Hip1, Col4a2"
