"level1" "level2" "level3" "level4" "level5" "level6" "level7" "level8" "level9" "level10" "level11" "level12" "level13"
"16" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROPHASE</b>" "<b>MASTL FACILITATES MITOTIC PROGRESSION</b>" "" "" "" "" "" "" ""
"17" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROPHASE</b>" "<b>NUCLEAR ENVELOPE BREAKDOWN</b>" "<b>ACTIVATION OF NIMA KINASES NEK9 NEK6 NEK7</b>" "" "" "" "" "" ""
"18" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC PROPHASE</b>" "<b>NUCLEAR ENVELOPE BREAKDOWN</b>" "<b>NUCLEAR PORE COMPLEX NPC DISASSEMBLY</b>" "" "" "" "" "" ""
"19" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>M PHASE</b>" "<b>MITOTIC TELOPHASE CYTOKINESIS</b>" "<b>COHESIN LOADING ONTO CHROMATIN</b>" "" "" "" "" "" "" ""
"20" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G1 PHASE AND G1 S TRANSITION</b>" "<b>G0 AND EARLY G1</b>" "" "" "" "" "" "" "" ""
"21" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G1 PHASE AND G1 S TRANSITION</b>" "G1 PHASE" "<b>CYCLIN D ASSOCIATED EVENTS IN G1</b>" "" "" "" "" "" "" ""
"22" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G1 PHASE AND G1 S TRANSITION</b>" "G1 S TRANSITION" "<b>ACTIVATION OF THE PRE REPLICATIVE COMPLEX</b>" "" "" "" "" "" "" ""
"23" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G1 PHASE AND G1 S TRANSITION</b>" "G1 S TRANSITION" "<b>E2F MEDIATED REGULATION OF DNA REPLICATION</b>" "" "" "" "" "" "" ""
"24" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G2 G2 M PHASES</b>" "G2 M TRANSITION" "<b>AURKA ACTIVATION BY TPX2</b>" "" "" "" "" "" "" ""
"25" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G2 G2 M PHASES</b>" "G2 M TRANSITION" "<b>CYCLIN A B1 B2 ASSOCIATED EVENTS DURING G2 M TRANSITION</b>" "" "" "" "" "" "" ""
"26" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G2 G2 M PHASES</b>" "G2 M TRANSITION" "<b>POLO LIKE KINASE MEDIATED EVENTS</b>" "" "" "" "" "" "" ""
"27" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G2 G2 M PHASES</b>" "G2 M TRANSITION" "<b>REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION</b>" "" "" "" "" "" "" ""
"28" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G2 G2 M PHASES</b>" "G2 M TRANSITION" "<b>THE ROLE OF GTSE1 IN G2 M PROGRESSION AFTER G2 CHECKPOINT</b>" "" "" "" "" "" "" ""
"29" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>MITOTIC G2 G2 M PHASES</b>" "G2 M TRANSITION" "CENTROSOME MATURATION" "<b>RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES</b>" "" "" "" "" "" ""
"30" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>S PHASE</b>" "<b>CYCLIN A CDK2 ASSOCIATED EVENTS AT S PHASE ENTRY</b>" "" "" "" "" "" "" "" ""
"31" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>S PHASE</b>" "<b>ESTABLISHMENT OF SISTER CHROMATID COHESION</b>" "" "" "" "" "" "" "" ""
"32" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>S PHASE</b>" "SYNTHESIS OF DNA" "<b>DNA REPLICATION INITIATION</b>" "" "" "" "" "" "" ""
"33" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>S PHASE</b>" "SYNTHESIS OF DNA" "<b>DNA STRAND ELONGATION</b>" "<b>LAGGING STRAND SYNTHESIS</b>" "<b>PROCESSIVE SYNTHESIS ON THE LAGGING STRAND</b>" "" "" "" "" ""
"34" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>S PHASE</b>" "SYNTHESIS OF DNA" "<b>DNA STRAND ELONGATION</b>" "<b>UNWINDING OF DNA</b>" "" "" "" "" "" ""
"35" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>S PHASE</b>" "SYNTHESIS OF DNA" "<b>DNA STRAND ELONGATION</b>" "LEADING STRAND SYNTHESIS" "<b>POLYMERASE SWITCHING</b>" "" "" "" "" ""
"36" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "<b>S PHASE</b>" "SYNTHESIS OF DNA" "<b>SWITCHING OF ORIGINS TO A POST REPLICATIVE STATE</b>" "<b>ORC1 REMOVAL FROM CHROMATIN</b>" "" "" "" "" "" ""
"37" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "REGULATION OF MITOTIC CELL CYCLE" "<b>APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS</b>" "<b>APC C CDH1 MEDIATED DEGRADATION OF CDC20 AND OTHER APC C CDH1 TARGETED PROTEINS IN LATE MITOSIS EARLY G1</b>" "" "" "" "" "" "" ""
"38" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "REGULATION OF MITOTIC CELL CYCLE" "<b>APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS</b>" "<b>CONVERSION FROM APC C CDC20 TO APC C CDH1 IN LATE ANAPHASE</b>" "" "" "" "" "" "" ""
"39" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "REGULATION OF MITOTIC CELL CYCLE" "<b>APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS</b>" "ACTIVATION OF APC C AND APC C CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS" "<b>PHOSPHORYLATION OF THE APC C</b>" "" "" "" "" "" ""
"40" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "REGULATION OF MITOTIC CELL CYCLE" "<b>APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS</b>" "ACTIVATION OF APC C AND APC C CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS" "APC C CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS" "<b>APC C CDC20 MEDIATED DEGRADATION OF CYCLIN B</b>" "" "" "" "" ""
"41" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "REGULATION OF MITOTIC CELL CYCLE" "<b>APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS</b>" "ACTIVATION OF APC C AND APC C CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS" "APC C CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS" "APC CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT" "<b>APC CDC20 MEDIATED DEGRADATION OF NEK2A</b>" "" "" "" ""
"42" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "REGULATION OF MITOTIC CELL CYCLE" "<b>APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS</b>" "REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE" "<b>INHIBITION OF THE PROTEOLYTIC ACTIVITY OF APC C REQUIRED FOR THE ONSET OF ANAPHASE BY MITOTIC SPINDLE CHECKPOINT COMPONENTS</b>" "" "" "" "" "" ""
"43" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CELL CYCLE MITOTIC</b>" "REGULATION OF MITOTIC CELL CYCLE" "<b>APC C MEDIATED DEGRADATION OF CELL CYCLE PROTEINS</b>" "REGULATION OF APC C ACTIVATORS BETWEEN G1 S AND EARLY ANAPHASE" "<b>PHOSPHORYLATION OF EMI1</b>" "" "" "" "" "" ""
"44" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CHROMOSOME MAINTENANCE</b>" "<b>TELOMERE MAINTENANCE</b>" "<b>EXTENSION OF TELOMERES</b>" "<b>TELOMERE C STRAND LAGGING STRAND SYNTHESIS</b>" "<b>POLYMERASE SWITCHING ON THE C STRAND OF THE TELOMERE</b>" "" "" "" "" "" ""
"45" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CHROMOSOME MAINTENANCE</b>" "<b>TELOMERE MAINTENANCE</b>" "<b>EXTENSION OF TELOMERES</b>" "<b>TELOMERE C STRAND LAGGING STRAND SYNTHESIS</b>" "<b>PROCESSIVE SYNTHESIS ON THE C STRAND OF THE TELOMERE</b>" "" "" "" "" "" ""
"46" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CHROMOSOME MAINTENANCE</b>" "<b>TELOMERE MAINTENANCE</b>" "<b>EXTENSION OF TELOMERES</b>" "<b>TELOMERE EXTENSION BY TELOMERASE</b>" "" "" "" "" "" "" ""
"47" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CHROMOSOME MAINTENANCE</b>" "<b>TELOMERE MAINTENANCE</b>" "<b>INHIBITION OF DNA RECOMBINATION AT TELOMERE</b>" "" "" "" "" "" "" "" ""
"48" "<b>IN REACTOME HIERARCHIE</b>" "<b>CELL CYCLE</b>" "<b>CHROMOSOME MAINTENANCE</b>" "NUCLEOSOME ASSEMBLY" "<b>DEPOSITION OF NEW CENPA CONTAINING NUCLEOSOMES AT THE CENTROMERE</b>" "" "" "" "" "" "" "" ""
"49" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>NERVOUS SYSTEM DEVELOPMENT</b>" "<b>EGR2 AND SOX10 MEDIATED INITIATION OF SCHWANN CELL MYELINATION</b>" "" "" "" "" "" "" "" "" ""
"50" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>NERVOUS SYSTEM DEVELOPMENT</b>" "AXON GUIDANCE" "<b>NCAM SIGNALING FOR NEURITE OUT GROWTH</b>" "<b>NCAM1 INTERACTIONS</b>" "" "" "" "" "" "" ""
"51" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>NERVOUS SYSTEM DEVELOPMENT</b>" "AXON GUIDANCE" "<b>SEMAPHORIN INTERACTIONS</b>" "SEMA4D IN SEMAPHORIN SIGNALING" "<b>SEMA4D INDUCED CELL MIGRATION AND GROWTH CONE COLLAPSE</b>" "" "" "" "" "" ""
"52" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>NERVOUS SYSTEM DEVELOPMENT</b>" "AXON GUIDANCE" "<b>SIGNALING BY ROBO RECEPTORS</b>" "<b>REGULATION OF EXPRESSION OF SLITS AND ROBOS</b>" "" "" "" "" "" "" ""
"53" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>NERVOUS SYSTEM DEVELOPMENT</b>" "AXON GUIDANCE" "<b>SIGNALING BY ROBO RECEPTORS</b>" "<b>ROLE OF ABL IN ROBO SLIT SIGNALING</b>" "" "" "" "" "" "" ""
"54" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>NERVOUS SYSTEM DEVELOPMENT</b>" "AXON GUIDANCE" "EPH EPHRIN SIGNALING" "<b>EPHA MEDIATED GROWTH CONE COLLAPSE</b>" "" "" "" "" "" "" ""
"55" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>NERVOUS SYSTEM DEVELOPMENT</b>" "AXON GUIDANCE" "L1CAM INTERACTIONS" "<b>RECYCLING PATHWAY OF L1</b>" "" "" "" "" "" "" ""
"56" "<b>IN REACTOME HIERARCHIE</b>" "<b>DEVELOPMENTAL BIOLOGY</b>" "<b>TRANSCRIPTIONAL REGULATION OF GRANULOPOIESIS</b>" "" "" "" "" "" "" "" "" "" ""
"57" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>BASE EXCISION REPAIR</b>" "<b>BASE EXCISION REPAIR AP SITE FORMATION</b>" "DEPURINATION" "<b>RECOGNITION AND ASSOCIATION OF DNA GLYCOSYLASE WITH SITE CONTAINING AN AFFECTED PURINE</b>" "" "" "" "" "" "" ""
"58" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>BASE EXCISION REPAIR</b>" "<b>RESOLUTION OF ABASIC SITES AP SITES</b>" "<b>RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY</b>" "<b>PCNA DEPENDENT LONG PATCH BASE EXCISION REPAIR</b>" "" "" "" "" "" "" ""
"59" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>BASE EXCISION REPAIR</b>" "<b>RESOLUTION OF ABASIC SITES AP SITES</b>" "<b>RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY</b>" "<b>POLB DEPENDENT LONG PATCH BASE EXCISION REPAIR</b>" "" "" "" "" "" "" ""
"60" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DAMAGE BYPASS</b>" "<b>RECOGNITION OF DNA DAMAGE BY PCNA CONTAINING REPLICATION COMPLEX</b>" "" "" "" "" "" "" "" "" ""
"61" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DAMAGE BYPASS</b>" "<b>TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE</b>" "<b>TERMINATION OF TRANSLESION DNA SYNTHESIS</b>" "" "" "" "" "" "" "" ""
"62" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DAMAGE BYPASS</b>" "<b>TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE</b>" "<b>TRANSLESION SYNTHESIS BY POLH</b>" "" "" "" "" "" "" "" ""
"63" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DAMAGE BYPASS</b>" "<b>TRANSLESION SYNTHESIS BY Y FAMILY DNA POLYMERASES BYPASSES LESIONS ON DNA TEMPLATE</b>" "<b>TRANSLESION SYNTHESIS BY POLK</b>" "" "" "" "" "" "" "" ""
"64" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DOUBLE STRAND BREAK REPAIR</b>" "<b>DNA DOUBLE STRAND BREAK RESPONSE</b>" "" "" "" "" "" "" "" "" ""
"65" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DOUBLE STRAND BREAK REPAIR</b>" "<b>HOMOLOGY DIRECTED REPAIR</b>" "HDR THROUGH HOMOLOGOUS RECOMBINATION HRR OR SINGLE STRAND ANNEALING SSA" "<b>HDR THROUGH HOMOLOGOUS RECOMBINATION HRR</b>" "<b>HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE</b>" "" "" "" "" "" ""
"66" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DOUBLE STRAND BREAK REPAIR</b>" "<b>HOMOLOGY DIRECTED REPAIR</b>" "HDR THROUGH HOMOLOGOUS RECOMBINATION HRR OR SINGLE STRAND ANNEALING SSA" "<b>HDR THROUGH HOMOLOGOUS RECOMBINATION HRR</b>" "<b>RESOLUTION OF D LOOP STRUCTURES</b>" "" "" "" "" "" ""
"67" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DOUBLE STRAND BREAK REPAIR</b>" "<b>HOMOLOGY DIRECTED REPAIR</b>" "HDR THROUGH HOMOLOGOUS RECOMBINATION HRR OR SINGLE STRAND ANNEALING SSA" "<b>HDR THROUGH SINGLE STRAND ANNEALING SSA</b>" "" "" "" "" "" "" ""
"68" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DOUBLE STRAND BREAK REPAIR</b>" "<b>HOMOLOGY DIRECTED REPAIR</b>" "HDR THROUGH HOMOLOGOUS RECOMBINATION HRR OR SINGLE STRAND ANNEALING SSA" "<b>PROCESSING OF DNA DOUBLE STRAND BREAK ENDS</b>" "" "" "" "" "" "" ""
"69" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>DNA DOUBLE STRAND BREAK REPAIR</b>" "<b>NONHOMOLOGOUS END JOINING NHEJ</b>" "" "" "" "" "" "" "" "" ""
"70" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>FANCONI ANEMIA PATHWAY</b>" "" "" "" "" "" "" "" "" "" ""
"71" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>MISMATCH REPAIR</b>" "" "" "" "" "" "" "" "" "" ""
"72" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>NUCLEOTIDE EXCISION REPAIR</b>" "<b>GLOBAL GENOME NUCLEOTIDE EXCISION REPAIR GG NER</b>" "<b>DNA DAMAGE RECOGNITION IN GG NER</b>" "" "" "" "" "" "" "" ""
"73" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>NUCLEOTIDE EXCISION REPAIR</b>" "<b>GLOBAL GENOME NUCLEOTIDE EXCISION REPAIR GG NER</b>" "<b>DUAL INCISION IN GG NER</b>" "" "" "" "" "" "" "" ""
"74" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>NUCLEOTIDE EXCISION REPAIR</b>" "<b>GLOBAL GENOME NUCLEOTIDE EXCISION REPAIR GG NER</b>" "<b>FORMATION OF INCISION COMPLEX IN GG NER</b>" "" "" "" "" "" "" "" ""
"75" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>NUCLEOTIDE EXCISION REPAIR</b>" "<b>GLOBAL GENOME NUCLEOTIDE EXCISION REPAIR GG NER</b>" "<b>GAP FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG NER</b>" "" "" "" "" "" "" "" ""
"76" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>NUCLEOTIDE EXCISION REPAIR</b>" "<b>TRANSCRIPTION COUPLED NUCLEOTIDE EXCISION REPAIR TC NER</b>" "<b>DUAL INCISION IN TC NER</b>" "" "" "" "" "" "" "" ""
"77" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPAIR</b>" "<b>NUCLEOTIDE EXCISION REPAIR</b>" "<b>TRANSCRIPTION COUPLED NUCLEOTIDE EXCISION REPAIR TC NER</b>" "<b>FORMATION OF TC NER PRE INCISION COMPLEX</b>" "" "" "" "" "" "" "" ""
"78" "<b>IN REACTOME HIERARCHIE</b>" "<b>DNA REPLICATION</b>" "<b>DNA REPLICATION PRE INITIATION</b>" "<b>ASSEMBLY OF THE PRE REPLICATIVE COMPLEX</b>" "<b>CDC6 ASSOCIATION WITH THE ORC ORIGIN COMPLEX</b>" "" "" "" "" "" "" "" ""
"79" "<b>IN REACTOME HIERARCHIE</b>" "<b>EXTRACELLULAR MATRIX ORGANIZATION</b>" "<b>COLLAGEN FORMATION</b>" "<b>ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES</b>" "<b>ANCHORING FIBRIL FORMATION</b>" "" "" "" "" "" "" "" ""
"80" "<b>IN REACTOME HIERARCHIE</b>" "<b>EXTRACELLULAR MATRIX ORGANIZATION</b>" "<b>COLLAGEN FORMATION</b>" "<b>ASSEMBLY OF COLLAGEN FIBRILS AND OTHER MULTIMERIC STRUCTURES</b>" "<b>CROSSLINKING OF COLLAGEN FIBRILS</b>" "" "" "" "" "" "" "" ""
"81" "<b>IN REACTOME HIERARCHIE</b>" "<b>EXTRACELLULAR MATRIX ORGANIZATION</b>" "<b>COLLAGEN FORMATION</b>" "<b>COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES</b>" "<b>COLLAGEN CHAIN TRIMERIZATION</b>" "" "" "" "" "" "" "" ""
"82" "<b>IN REACTOME HIERARCHIE</b>" "<b>EXTRACELLULAR MATRIX ORGANIZATION</b>" "<b>DEGRADATION OF THE EXTRACELLULAR MATRIX</b>" "<b>COLLAGEN DEGRADATION</b>" "" "" "" "" "" "" "" "" ""
"83" "<b>IN REACTOME HIERARCHIE</b>" "<b>EXTRACELLULAR MATRIX ORGANIZATION</b>" "<b>ECM PROTEOGLYCANS</b>" "" "" "" "" "" "" "" "" "" ""
