"Category"	"ID"	"Description"	"FDR"	"geneSymbols"	"genesEnriched"	"query_size"	"Count"	"BgRatio"	"GeneRatio"	"celltype"
"GO:MF"	"GO:0015093"	"ferrous iron transmembrane transporter activity"	0.0078958837329139	"Slc40a1"	"ENSMUSG00000025993"	5	1	0.000192289202961254	0.2	"M2"
"GO:MF"	"GO:0005021"	"vascular endothelial growth factor-activated receptor activity"	0.0172610391762099	"Flt1"	"ENSMUSG00000029648"	8	1	0.000288433804441881	0.125	"M2"
"GO:MF"	"GO:0031702"	"type 1 angiotensin receptor binding"	0.0175436519448654	"Ednrb"	"ENSMUSG00000022122"	9	1	0.000288433804441881	0.111111111111111	"M2"
"GO:MF"	"GO:0031701"	"angiotensin receptor binding"	0.0198751607565469	"Ednrb"	"ENSMUSG00000022122"	9	1	0.000384578405922507	0.111111111111111	"M2"
"REAC"	"REAC:R-MMU-9018676"	"Biosynthesis of D-series resolvins"	0.00799443865137295	"Hpgd"	"ENSMUSG00000031613"	1	1	0.000463445718920171	1	"M2"
"REAC"	"REAC:R-MMU-2142700"	"Synthesis of Lipoxins (LX)"	0.00799443865137295	"Hpgd"	"ENSMUSG00000031613"	1	1	0.000579307148650214	1	"M2"
"REAC"	"REAC:R-MMU-9018679"	"Biosynthesis of EPA-derived SPMs"	0.00799443865137295	"Hpgd"	"ENSMUSG00000031613"	1	1	0.000695168578380257	1	"M2"
"REAC"	"REAC:R-MMU-9018896"	"Biosynthesis of E-series 18(S)-resolvins"	0.00799443865137295	"Hpgd"	"ENSMUSG00000031613"	1	1	0.000579307148650214	1	"M2"
"REAC"	"REAC:R-MMU-8849470"	"PTK6 Regulates Cell Cycle"	0.0136968130199308	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.000695168578380257	0.333333333333333	"M2"
"REAC"	"REAC:R-MMU-8934593"	"Regulation of RUNX1 Expression and Activity"	0.0139805427971743	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.0008110300081103	0.333333333333333	"M2"
"REAC"	"REAC:R-MMU-8951936"	"RUNX3 regulates p14-ARF"	0.0142008100860057	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.000926891437840343	0.333333333333333	"M2"
"WP"	"WP:WP3979"	"mir-193a and MVP in colon cancer metastasis"	0.0359589041095892	"Ccnd1"	"ENSMUSG00000070348"	3	1	0.00132567388422448	0.333333333333333	"M2"
