"Category"	"ID"	"Description"	"FDR"	"geneSymbols"	"genesEnriched"	"query_size"	"Count"	"BgRatio"	"GeneRatio"	"celltype"
"GO:BP"	"GO:0060804"	"positive regulation of Wnt signaling pathway by BMP signaling pathway"	0.00381870104018986	"Bmp2"	"ENSMUSG00000027358"	1	1	4.73529690311583e-05	1	"ECs"
"GO:BP"	"GO:0003171"	"atrioventricular valve development"	0.00409336731843179	"Bmp2,Heyl"	"ENSMUSG00000027358,ENSMUSG00000032744"	10	2	0.00132588313287243	0.2	"ECs"
"GO:BP"	"GO:1905314"	"semi-lunar valve development"	0.00412931635802533	"Bmp2,Heyl"	"ENSMUSG00000027358,ENSMUSG00000032744"	10	2	0.00137323610190359	0.2	"ECs"
"GO:BP"	"GO:0060317"	"cardiac epithelial to mesenchymal transition"	0.00425322575235342	"Bmp2,Heyl"	"ENSMUSG00000027358,ENSMUSG00000032744"	10	2	0.00151529500899706	0.2	"ECs"
"GO:BP"	"GO:0003210"	"cardiac atrium formation"	0.00425322575235342	"Bmp2"	"ENSMUSG00000027358"	1	1	9.47059380623165e-05	1	"ECs"
"GO:BP"	"GO:0051040"	"regulation of calcium-independent cell-cell adhesion"	0.00425322575235342	"Bmp2"	"ENSMUSG00000027358"	1	1	9.47059380623165e-05	1	"ECs"
"GO:BP"	"GO:0003203"	"endocardial cushion morphogenesis"	0.00426021997559952	"Bmp2,Heyl"	"ENSMUSG00000027358,ENSMUSG00000032744"	10	2	0.00156264797802822	0.2	"ECs"
"GO:BP"	"GO:0060128"	"corticotropin hormone secreting cell differentiation"	0.00452606285390956	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000142058907093475	1	"ECs"
"GO:BP"	"GO:0003133"	"endodermal-mesodermal cell signaling"	0.00452606285390956	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000142058907093475	1	"ECs"
"GO:BP"	"GO:0072138"	"mesenchymal cell proliferation involved in ureteric bud development"	0.00452606285390956	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000142058907093475	1	"ECs"
"GO:BP"	"GO:0003134"	"endodermal-mesodermal cell signaling involved in heart induction"	0.00452606285390956	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000142058907093475	1	"ECs"
"GO:BP"	"GO:0003130"	"BMP signaling pathway involved in heart induction"	0.00452606285390956	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000142058907093475	1	"ECs"
"GO:BP"	"GO:0035054"	"embryonic heart tube anterior/posterior pattern specification"	0.00452606285390956	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000142058907093475	1	"ECs"
"GO:BP"	"GO:1905072"	"cardiac jelly development"	0.00452606285390956	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000142058907093475	1	"ECs"
"GO:CC"	"GO:0005818"	"aster"	0.00272042401757034	"Tpx2,Kif18a"	"ENSMUSG00000027469,ENSMUSG00000027115"	30	2	0.000570993528740008	0.0666666666666667	"ECs"
"GO:CC"	"GO:0070724"	"BMP receptor complex"	0.00361629234868888	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000190331176246669	1	"ECs"
"GO:CC"	"GO:0120234"	"stereocilium coat"	0.0054244385230305	"Pkhd1l1"	"ENSMUSG00000038725"	9	1	4.75827940616673e-05	0.111111111111111	"ECs"
"GO:CC"	"GO:1990752"	"microtubule end"	0.00592569100614145	"Aspm,Kif2c"	"ENSMUSG00000033952,ENSMUSG00000028678"	23	2	0.00157023220403502	0.0869565217391304	"ECs"
"GO:CC"	"GO:0030112"	"glycocalyx"	0.00774772290591255	"Pkhd1l1"	"ENSMUSG00000038725"	9	1	9.51655881233346e-05	0.111111111111111	"ECs"
"GO:CC"	"GO:0033646"	"host intracellular part"	0.00821610858707171	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000428245146555006	0.333333333333333	"ECs"
"GO:CC"	"GO:0005880"	"nuclear microtubule"	0.00821610858707171	"Tpx2"	"ENSMUSG00000027469"	12	1	9.51655881233346e-05	0.0833333333333333	"ECs"
"GO:CC"	"GO:0036449"	"microtubule minus-end"	0.00821610858707171	"Aspm"	"ENSMUSG00000033952"	4	1	0.000333079558431671	0.25	"ECs"
"GO:CC"	"GO:0036398"	"TCR signalosome"	0.00821610858707171	"Lcp2"	"ENSMUSG00000002699"	15	1	9.51655881233346e-05	0.0666666666666667	"ECs"
"GO:CC"	"GO:0030430"	"host cell cytoplasm"	0.00821610858707171	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000428245146555006	0.333333333333333	"ECs"
"GO:CC"	"GO:0043656"	"host intracellular region"	0.00821610858707171	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000428245146555006	0.333333333333333	"ECs"
"GO:CC"	"GO:0033655"	"host cell cytoplasm part"	0.00821610858707171	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000428245146555006	0.333333333333333	"ECs"
"GO:CC"	"GO:0020005"	"symbiont-containing vacuole membrane"	0.00821610858707171	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000380662352493338	0.333333333333333	"ECs"
"GO:CC"	"GO:0032059"	"bleb"	0.00821610858707171	"Anln"	"ENSMUSG00000036777"	5	1	0.000285496764370004	0.2	"ECs"
"GO:CC"	"GO:0020003"	"symbiont-containing vacuole"	0.00821610858707171	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000428245146555006	0.333333333333333	"ECs"
"GO:CC"	"GO:0033643"	"host cell part"	0.00821610858707171	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000475827940616673	0.333333333333333	"ECs"
"GO:CC"	"GO:0005826"	"actomyosin contractile ring"	0.0093013217041586	"Anln"	"ENSMUSG00000036777"	5	1	0.000333079558431671	0.2	"ECs"
"GO:CC"	"GO:0043657"	"host cell"	0.0095239784808945	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000618576322801675	0.333333333333333	"ECs"
"GO:CC"	"GO:0018995"	"host cellular component"	0.0095239784808945	"Iigp1"	"ENSMUSG00000054072"	3	1	0.000618576322801675	0.333333333333333	"ECs"
"GO:CC"	"GO:0005871"	"kinesin complex"	0.00980383364667995	"Kif2c,Kif18a"	"ENSMUSG00000028678,ENSMUSG00000027115"	30	2	0.0021888085268367	0.0666666666666667	"ECs"
"GO:MF"	"GO:0003774"	"motor activity"	1.61546601555178e-05	"Kif11,Myh1,Kif4,Kif2c,Kif18a"	"ENSMUSG00000012443,ENSMUSG00000056328,ENSMUSG00000034311,ENSMUSG00000028678,ENSMUSG00000027115"	30	5	0.00543216998365542	0.166666666666667	"ECs"
"GO:MF"	"GO:1990939"	"ATP-dependent microtubule motor activity"	3.85755018719229e-05	"Kif11,Kif4,Kif2c,Kif18a"	"ENSMUSG00000012443,ENSMUSG00000034311,ENSMUSG00000028678,ENSMUSG00000027115"	30	4	0.00298048264589943	0.133333333333333	"ECs"
"GO:MF"	"GO:0003777"	"microtubule motor activity"	4.34344840768425e-05	"Kif11,Kif4,Kif2c,Kif18a"	"ENSMUSG00000012443,ENSMUSG00000034311,ENSMUSG00000028678,ENSMUSG00000027115"	30	4	0.00317277184886069	0.133333333333333	"ECs"
"GO:MF"	"GO:0008574"	"ATP-dependent microtubule motor activity, plus-end-directed"	0.00126938727291647	"Kif11,Kif18a"	"ENSMUSG00000012443,ENSMUSG00000027115"	30	2	0.000721084511104702	0.0666666666666667	"ECs"
"GO:MF"	"GO:0051010"	"microtubule plus-end binding"	0.00177092014454251	"Kif2c,Kif18a"	"ENSMUSG00000028678,ENSMUSG00000027115"	30	2	0.000865301413325642	0.0666666666666667	"ECs"
"GO:MF"	"GO:0050683"	"AF-1 domain binding"	0.00259946515114266	"Heyl"	"ENSMUSG00000032744"	10	1	4.80723007403134e-05	0.1	"ECs"
"GO:MF"	"GO:0039706"	"co-receptor binding"	0.00300795253203616	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000576867608883761	1	"ECs"
"GO:MF"	"GO:0019211"	"phosphatase activator activity"	0.00327532609044072	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000673012210364388	1	"ECs"
"GO:MF"	"GO:0070700"	"BMP receptor binding"	0.00327532609044072	"Bmp2"	"ENSMUSG00000027358"	1	1	0.000673012210364388	1	"ECs"
"GO:MF"	"GO:0070696"	"transmembrane receptor protein serine/threonine kinase binding"	0.0054337207030341	"Bmp2"	"ENSMUSG00000027358"	1	1	0.00115373521776752	1	"ECs"
"GO:MF"	"GO:0050254"	"rhodopsin kinase activity"	0.00825335349618314	"Grk1"	"ENSMUSG00000031450"	20	1	9.61446014806269e-05	0.05	"ECs"
"GO:MF"	"GO:0061676"	"importin-alpha family protein binding"	0.0184488400631678	"Tpx2"	"ENSMUSG00000027469"	12	1	0.000432650706662821	0.0833333333333333	"ECs"
"GO:MF"	"GO:0004703"	"G protein-coupled receptor kinase activity"	0.0195419922083683	"Grk1"	"ENSMUSG00000031450"	20	1	0.000288433804441881	0.05	"ECs"
"REAC"	"REAC:R-MMU-983189"	"Kinesins"	0.00315328556967796	"Kif11,Kif4,Kif2c,Kif18a"	"ENSMUSG00000012443,ENSMUSG00000034311,ENSMUSG00000028678,ENSMUSG00000027115"	30	4	0.00579307148650214	0.133333333333333	"ECs"
"REAC"	"REAC:R-MMU-141424"	"Amplification of signal from the kinetochores"	0.0130609671788596	"Kif2c,Kif18a,Nuf2,Knl1"	"ENSMUSG00000028678,ENSMUSG00000027115,ENSMUSG00000026683,ENSMUSG00000027326"	36	4	0.00996408295678369	0.111111111111111	"ECs"
"REAC"	"REAC:R-MMU-141444"	"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal"	0.0130609671788596	"Kif2c,Kif18a,Nuf2,Knl1"	"ENSMUSG00000028678,ENSMUSG00000027115,ENSMUSG00000026683,ENSMUSG00000027326"	36	4	0.00996408295678369	0.111111111111111	"ECs"
"REAC"	"REAC:R-MMU-6811434"	"COPI-dependent Golgi-to-ER retrograde traffic"	0.0130609671788596	"Kif11,Kif4,Kif2c,Kif18a"	"ENSMUSG00000012443,ENSMUSG00000034311,ENSMUSG00000028678,ENSMUSG00000027115"	30	4	0.0103116672459738	0.133333333333333	"ECs"
"TF"	"TF:M02771_1"	"Factor: IRF-9; motif: NNRAAWCGAAACTNA; match class: 1"	0.0403142395203662	"Tgtp2,Cd274"	"ENSMUSG00000078921,ENSMUSG00000016496"	33	2	0.000641143066495695	0.0606060606060606	"ECs"
