"pathway"	"pval"	"padj"	"ES"	"regulation"	"NES"	"listOfgenes"	"ngenes"
"REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS_"	0.118648573534565	0.741477592183394	0.29346082499314	"Up"	1.35153596548447	"Gpha2, Ptger3, Htr6, Htr4, Drd1, S1pr5, P2ry4, Gpr55, Ffar3, Edn1, Ccl17, Oxt, Sstr3, Ccr6, Htr2a"	15
"REACTOME_COMPLEMENT_CASCADE"	0.0986433553071558	0.741477592183394	0.575260675219801	"Up"	1.40584655271585	"Vtn, C6, Masp1"	3
"REACTOME_COSTIMULATION_BY_THE_CD28_FAMILY"	0.089758287952613	0.741477592183394	0.582139348381051	"Up"	1.42265694732053	"Yes1, Pak3, Cd3g, Cd3e, Cd3d"	5
"REACTOME_DEFENSINS"	0.0993218400196094	0.741477592183394	0.610868207370393	"Up"	1.39699365675356	"Defb47, Ccr6, Defb30, Defb42, Art1"	5
"REACTOME_DISEASES_ASSOCIATED_WITH_O_GLYCOSYLATION_OF_PROTEINS"	0.0970788747609524	0.741477592183394	0.461083358598932	"Up"	1.43058100509247	"Thsd4, Sbspon, Notch3, Adamts9, Adamts12, Adamts5, Sema5a"	7
"REACTOME_EPHA_MEDIATED_GROWTH_CONE_COLLAPSE"	0.0479221391526908	0.741477592183394	0.707240948813983	"Up"	1.49449160098096	"Myl9, Yes1, Epha3, Efna1"	4
"REACTOME_FCGR3A_MEDIATED_IL10_SYNTHESIS"	0.0640032185275237	0.741477592183394	0.746101060511541	"Up"	1.42224004388298	"Yes1, Cd3g, Adcy5"	3
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION"	0.127726565096468	0.741477592183394	0.689326911492557	"Up"	1.31401547154848	"Fgf8, Fgf1"	2
"REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION"	0.127726565096468	0.741477592183394	0.689326911492557	"Up"	1.31401547154848	"Fgf8, Fgf1"	2
"REACTOME_GENERATION_OF_SECOND_MESSENGER_MOLECULES"	0.0487294713620394	0.741477592183394	0.661461586508432	"Up"	1.51269558538039	"Itk, Pak3, Cd3g, Cd3e, Cd3d"	5
"REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS"	0.076558071399	0.741477592183394	0.594362960490451	"Up"	1.45252953150016	"Enpp3, Ptgis"	2
"REACTOME_NEGATIVE_REGULATION_OF_FGFR1_SIGNALING"	0.127726565096468	0.741477592183394	0.689326911492557	"Up"	1.31401547154848	"Fgf8, Fgf1"	2
"REACTOME_NEGATIVE_REGULATION_OF_FGFR2_SIGNALING"	0.127726565096468	0.741477592183394	0.689326911492557	"Up"	1.31401547154848	"Fgf8, Fgf1"	2
"REACTOME_NEGATIVE_REGULATION_OF_FGFR4_SIGNALING"	0.119295422344277	0.741477592183394	0.696057892257823	"Up"	1.32684626738249	"Fgf8, Fgf1"	2
"HALLMARK_APOPTOSIS"	0.0161671157532154	0.696191005063533	-0.607156697277471	"Down"	-1.78964791282661	"Plppr4, Cd2, Fasl, Clu"	4
"HALLMARK_E2F_TARGETS"	0.0194874906646751	0.696191005063533	-0.810979413599501	"Down"	-1.65124989397699	"Tcf19, Ube2t, Dscc1"	3
"REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS"	0.0148198282300224	0.696191005063533	-0.826575171553338	"Down"	-1.68300469963039	"Hoxa1, Rarb, Pax6"	3
"REACTOME_HCMV_EARLY_EVENTS"	0.0226461538461538	0.696191005063533	-0.733458177278402	"Down"	-1.69150457227818	"H2ac21, H2ac12, Dync1i1, H2ac8"	4
"REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING"	0.0129761015683346	0.696191005063533	-0.833437305053025	"Down"	-1.69697681411789	"Ifng, Serpinb2, Il27ra"	3
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY"	0.00273230769230769	0.696191005063533	-0.82896379525593	"Down"	-1.91176006126419	"Nr1i2, Nr2e1, Ar, Rarb"	4
"HALLMARK_APICAL_SURFACE"	0.112566153846154	0.741477592183394	-0.605819657508284	"Down"	-1.39714403956028	"Gata3, Slc34a3"	2
"HALLMARK_COMPLEMENT"	0.126303015216106	0.741477592183394	-0.380047557503636	"Down"	-1.36257356991751	"Mmp15, Gata3, Clu, S100a9, Serpinb2, Cd55, F5"	7
"REACTOME_APOPTOTIC_EXECUTION_PHASE"	0.0853715459297984	0.741477592183394	-0.706799750467873	"Down"	-1.43912779221225	"Cdh1, Prkcq, H1f5"	3
"REACTOME_CHROMATIN_MODIFYING_ENZYMES"	0.120197783271758	0.741477592183394	-0.467564901851003	"Down"	-1.37818878464289	"Padi3, H2ac21, H2ac12, Actl6b, H2ac8"	5
"REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT"	0.0460464899178491	0.741477592183394	-0.759201497192764	"Down"	-1.54582393920769	"Dync1i1, Cd55, Ank3"	3
"REACTOME_GLI_PROTEINS_BIND_PROMOTERS_OF_HH_RESPONSIVE_GENES_TO_PROMOTE_TRANSCRIPTION"	0.0296863330843913	0.741477592183394	-0.788521522145976	"Down"	-1.60552297383609	"Boc, Gli3, Gli2"	3
"REACTOME_HATS_ACETYLATE_HISTONES"	0.0639703136669156	0.741477592183394	-0.733000623830318	"Down"	-1.49247586570997	"H2ac21, H2ac12, H2ac8"	3
"REACTOME_HCMV_INFECTION"	0.0924900167461033	0.741477592183394	-0.567966028195419	"Down"	-1.44418482205123	"H2ac21, H2ac12, Dync1i1, H2ac8"	4
"REACTOME_HDACS_DEACETYLATE_HISTONES"	0.0639703136669156	0.741477592183394	-0.733000623830318	"Down"	-1.49247586570997	"H2ac21, H2ac12, H2ac8"	3
"REACTOME_INTEGRATION_OF_ENERGY_METABOLISM"	0.0733422534773003	0.741477592183394	-0.416670757252189	"Down"	-1.49387767393799	"Rapgef4, Chrm3, Prkaa2"	3
"REACTOME_METABOLISM_OF_LIPIDS"	0.0887366401753905	0.741477592183394	-0.229239053125572	"Down"	-1.37104964724908	"Bdh1, Acot4, Apoa1, Pla2g2e, Arnt2, Enpp6, Prkaa2, Pla2g3, Gpat3, Ephx2, Lrp2, Pip5k1b"	12
"REACTOME_METALLOPROTEASE_DUBS"	0.0639703136669156	0.741477592183394	-0.733000623830318	"Down"	-1.49247586570997	"H2ac21, H2ac12, H2ac8"	3
"REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE"	0.0720176419055675	0.741477592183394	-0.43499524979379	"Down"	-1.49866035859009	"Slc22a1, Slc1a3, Unc13b, Lin7b, Slc6a12, Syn1"	6
"REACTOME_NEUTROPHIL_DEGRANULATION"	0.0464382508798188	0.741477592183394	-0.314425785280208	"Down"	-1.53773059399545	"Frk, Ahsg, Mgam, Abca13, Lrrc7, Adgre4, Oscar, S100a9, Xrcc5, Camp, Cd55, Mmp9, Ppbp, Lcn2"	14
"REACTOME_PEROXISOMAL_PROTEIN_IMPORT"	0.0797470126960418	0.741477592183394	-0.712797229155151	"Down"	-1.45133936735266	"Acot4, Ephx2"	2
"REACTOME_PROGRAMMED_CELL_DEATH"	0.127459366980325	0.741477592183394	-0.436170212765957	"Down"	-1.3650309349054	"Trp73, Fasl, Cdh1, Prkcq, H1f5, Bbc3, Psma8, Dapk2"	8
"REACTOME_REGULATION_OF_INSULIN_SECRETION"	0.0656632338702579	0.741477592183394	-0.460781178512402	"Down"	-1.51809447147839	"Rapgef4, Chrm3"	2
"REACTOME_REGULATION_OF_LIPID_METABOLISM_BY_PPARALPHA"	0.0572022031366692	0.741477592183394	-0.742284374439889	"Down"	-1.51137867871939	"Apoa1, Arnt2"	2
"REACTOME_RMTS_METHYLATE_HISTONE_ARGININES"	0.0821847224011336	0.741477592183394	-0.578031106788534	"Down"	-1.46977760932253	"H2ac21, H2ac12, Actl6b, H2ac8"	4
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION"	0.127257799671593	0.741477592183394	-0.208111281402795	"Down"	-1.29163170074429	"Zfp13, Gata3, Trp73, Prkaa2, Itgbl1, Ifng, Fasl, Nr1i2, Zfp9, Zfp551, Nr2e1, Ar, Zik1, Tead4, Rbfox1, Gli3, Rarb"	17
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS"	0.0668642643764003	0.741477592183394	-0.728929895560277	"Down"	-1.48418738204245	"Gata3, Trp73"	2
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS"	0.0866386732320334	0.741477592183394	-0.422932330827068	"Down"	-1.45710078185245	"Gata3, Rarb, Mmp9, Gng4, Cxxc5, Ccnd1, Tff1, Aldh1a3, Gnb5, Gnat3"	10
"REACTOME_TOLL_LIKE_RECEPTOR_CASCADES"	0.104929051530993	0.741477592183394	-0.686213349968808	"Down"	-1.39721144874976	"S100a9, S100b, Saa2"	3
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	0.133563076923077	0.746283692307692	-0.588014981273408	"Down"	-1.35608281454132	"Prkaa2, Fasl, Fgf22, Gna14"	4
