"Category" "ID" "Description" "FDR" "genesEnriched" "query_size" "Count" "BgRatio" "GeneRatio" "celltype" "geneSymbols"
"18" "GO:BP" "GO:0007159" "leukocyte cell-cell adhesion" 4.5132427743518e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000056071,ENSMUSG00000020053" 24 7 0.0161000094705938 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,S100a9,Igf1"
"19" "GO:BP" "GO:1903037" "regulation of leukocyte cell-cell adhesion" 4.5132427743518e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012" 9 5 0.0143953025854721 0.555555555555556 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28"
"20" "GO:BP" "GO:0050863" "regulation of T cell activation" 4.86084003924625e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012" 9 5 0.0147267733686902 0.555555555555556 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28"
"21" "GO:BP" "GO:0019884" "antigen processing and presentation of exogenous antigen" 6.3442822094227e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594" 8 3 0.00132588313287243 0.375 "M1" "H2-Ab1,Cd74,H2-Aa"
"22" "GO:BP" "GO:0002250" "adaptive immune response" 7.7682106700844e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000060586,ENSMUSG00000020641" 18 7 0.0250023676484516 0.388888888888889 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,H2-Eb1,Rsad2"
"23" "GO:BP" "GO:0051251" "positive regulation of lymphocyte activation" 9.88533121999497e-06 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000023274,ENSMUSG00000036594,ENSMUSG00000026012,ENSMUSG00000029084,ENSMUSG00000020053" 24 7 0.0186097168292452 0.291666666666667 "M1" "H2-Ab1,Cd74,Cd4,H2-Aa,Cd28,Cd38,Igf1"
"24" "GO:CC" "GO:0042613" "MHC class II protein complex" 2.44730324974045e-09 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594,ENSMUSG00000060586" 12 4 0.00052341073467834 0.333333333333333 "M1" "H2-Ab1,Cd74,H2-Aa,H2-Eb1"
"25" "GO:CC" "GO:0042611" "MHC protein complex" 3.27148000318953e-08 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594,ENSMUSG00000060586" 12 4 0.00109440426341835 0.333333333333333 "M1" "H2-Ab1,Cd74,H2-Aa,H2-Eb1"
"26" "GO:CC" "GO:0005771" "multivesicular body" 0.000424674760512274 "ENSMUSG00000073421,ENSMUSG00000024610" 3 2 0.00266463646745337 0.666666666666667 "M1" "H2-Ab1,Cd74"
"27" "GO:CC" "GO:0035693" "NOS2-CD74 complex" 0.00248790037522387 "ENSMUSG00000024610" 3 1 4.75827940616673e-05 0.333333333333333 "M1" "Cd74"
"28" "GO:CC" "GO:0035692" "macrophage migration inhibitory factor receptor complex" 0.00386988309296981 "ENSMUSG00000024610" 3 1 9.51655881233346e-05 0.333333333333333 "M1" "Cd74"
"29" "GO:CC" "GO:0035867" "alphav-beta3 integrin-IGF-1-IGF1R complex" 0.0189777261706081 "ENSMUSG00000020053" 24 1 0.000142748382185002 0.0416666666666667 "M1" "Igf1"
"30" "GO:CC" "GO:0036454" "growth factor complex" 0.022745507545881 "ENSMUSG00000020053" 24 1 0.000237913970308336 0.0416666666666667 "M1" "Igf1"
"31" "GO:CC" "GO:0043656" "host intracellular region" 0.022745507545881 "ENSMUSG00000054072" 14 1 0.000428245146555006 0.0714285714285714 "M1" "Iigp1"
"32" "GO:CC" "GO:0033646" "host intracellular part" 0.022745507545881 "ENSMUSG00000054072" 14 1 0.000428245146555006 0.0714285714285714 "M1" "Iigp1"
"33" "GO:CC" "GO:0042567" "insulin-like growth factor ternary complex" 0.022745507545881 "ENSMUSG00000020053" 24 1 0.000190331176246669 0.0416666666666667 "M1" "Igf1"
"34" "GO:CC" "GO:0030430" "host cell cytoplasm" 0.022745507545881 "ENSMUSG00000054072" 14 1 0.000428245146555006 0.0714285714285714 "M1" "Iigp1"
"35" "GO:CC" "GO:0020005" "symbiont-containing vacuole membrane" 0.022745507545881 "ENSMUSG00000054072" 14 1 0.000380662352493338 0.0714285714285714 "M1" "Iigp1"
"36" "GO:CC" "GO:0020003" "symbiont-containing vacuole" 0.022745507545881 "ENSMUSG00000054072" 14 1 0.000428245146555006 0.0714285714285714 "M1" "Iigp1"
"37" "GO:CC" "GO:0033655" "host cell cytoplasm part" 0.022745507545881 "ENSMUSG00000054072" 14 1 0.000428245146555006 0.0714285714285714 "M1" "Iigp1"
"38" "GO:CC" "GO:0016942" "insulin-like growth factor binding protein complex" 0.022745507545881 "ENSMUSG00000020053" 24 1 0.000237913970308336 0.0416666666666667 "M1" "Igf1"
"39" "GO:CC" "GO:0033643" "host cell part" 0.0238369173878772 "ENSMUSG00000054072" 14 1 0.000475827940616673 0.0714285714285714 "M1" "Iigp1"
"40" "GO:CC" "GO:0018995" "host cellular component" 0.0284490570903268 "ENSMUSG00000054072" 14 1 0.000618576322801675 0.0714285714285714 "M1" "Iigp1"
"41" "GO:CC" "GO:0043657" "host cell" 0.0284490570903268 "ENSMUSG00000054072" 14 1 0.000618576322801675 0.0714285714285714 "M1" "Iigp1"
"42" "GO:CC" "GO:0098636" "protein complex involved in cell adhesion" 0.0428569192613042 "ENSMUSG00000026012" 9 1 0.00180814617434336 0.111111111111111 "M1" "Cd28"
"43" "GO:CC" "GO:0001772" "immunological synapse" 0.0454835878384676 "ENSMUSG00000026012" 9 1 0.00204606014465169 0.111111111111111 "M1" "Cd28"
"44" "GO:CC" "GO:0005614" "interstitial matrix" 0.0454835878384676 "ENSMUSG00000020053" 24 1 0.000761324704986677 0.0416666666666667 "M1" "Igf1"
"45" "GO:MF" "GO:0023026" "MHC class II protein complex binding" 8.24650818878156e-05 "ENSMUSG00000024610,ENSMUSG00000023274" 5 2 0.000288433804441881 0.4 "M1" "Cd74,Cd4"
"46" "GO:MF" "GO:0042289" "MHC class II protein binding" 8.24650818878156e-05 "ENSMUSG00000024610,ENSMUSG00000023274" 5 2 0.000336506105182194 0.4 "M1" "Cd74,Cd4"
"47" "GO:MF" "GO:0023023" "MHC protein complex binding" 0.000172700913877123 "ENSMUSG00000024610,ENSMUSG00000023274" 5 2 0.000576867608883761 0.4 "M1" "Cd74,Cd4"
"48" "GO:MF" "GO:0042605" "peptide antigen binding" 0.000749986880978912 "ENSMUSG00000073421,ENSMUSG00000036594" 8 2 0.000913373714065955 0.25 "M1" "H2-Ab1,H2-Aa"
"49" "GO:MF" "GO:0042287" "MHC protein binding" 0.000749986880978912 "ENSMUSG00000024610,ENSMUSG00000023274" 5 2 0.00139409672146909 0.4 "M1" "Cd74,Cd4"
"50" "GO:MF" "GO:0042658" "MHC class II protein binding, via antigen binding groove" 0.00306460917219614 "ENSMUSG00000024610" 3 1 4.80723007403134e-05 0.333333333333333 "M1" "Cd74"
"51" "GO:MF" "GO:0042277" "peptide binding" 0.00306460917219614 "ENSMUSG00000073421,ENSMUSG00000024610,ENSMUSG00000036594" 8 3 0.0139409672146909 0.375 "M1" "H2-Ab1,Cd74,H2-Aa"
"52" "GO:MF" "GO:0042011" "interleukin-16 binding" 0.00371467778447846 "ENSMUSG00000023274" 5 1 4.80723007403134e-05 0.2 "M1" "Cd4"
"53" "GO:MF" "GO:0042012" "interleukin-16 receptor activity" 0.00371467778447846 "ENSMUSG00000023274" 5 1 4.80723007403134e-05 0.2 "M1" "Cd4"
"54" "GO:MF" "GO:0004896" "cytokine receptor activity" 0.00371467778447846 "ENSMUSG00000024610,ENSMUSG00000023274" 5 2 0.00451879626958946 0.4 "M1" "Cd74,Cd4"
"55" "GO:MF" "GO:0035718" "macrophage migration inhibitory factor binding" 0.00377164534436899 "ENSMUSG00000024610" 3 1 9.61446014806269e-05 0.333333333333333 "M1" "Cd74"
"56" "GO:MF" "GO:0140375" "immune receptor activity" 0.00383132030510175 "ENSMUSG00000024610,ENSMUSG00000023274" 5 2 0.00567253148735699 0.4 "M1" "Cd74,Cd4"
"57" "GO:MF" "GO:0032810" "sterol response element binding" 0.00435824096334077 "ENSMUSG00000002108" 4 1 9.61446014806269e-05 0.25 "M1" "Nr1h3"
"58" "GO:MF" "GO:0019955" "cytokine binding" 0.00458195220031327 "ENSMUSG00000024610,ENSMUSG00000023274" 5 2 0.00663397750216325 0.4 "M1" "Cd74,Cd4"
"59" "GO:MF" "GO:0050659" "N-acetylgalactosamine 4-sulfate 6-O-sulfotransferase activity" 0.00576798277167945 "ENSMUSG00000034612" 6 1 9.61446014806269e-05 0.166666666666667 "M1" "Chst11"
"60" "GO:MF" "GO:0016829" "lyase activity" 0.00589079799382889 "ENSMUSG00000022126,ENSMUSG00000029084,ENSMUSG00000020641" 18 3 0.00951831554658206 0.166666666666667 "M1" "Acod1,Cd38,Rsad2"
"61" "GO:MF" "GO:0016603" "glutaminyl-peptide cyclotransferase activity" 0.00602081972703155 "ENSMUSG00000024084" 7 1 9.61446014806269e-05 0.142857142857143 "M1" "Qpct"
"62" "GO:MF" "GO:0047613" "aconitate decarboxylase activity" 0.00612921834438757 "ENSMUSG00000022126" 15 1 4.80723007403134e-05 0.0666666666666667 "M1" "Acod1"
"63" "GO:MF" "GO:0047756" "chondroitin 4-sulfotransferase activity" 0.00700313730270791 "ENSMUSG00000034612" 6 1 0.00014421690222094 0.166666666666667 "M1" "Chst11"
"64" "GO:MF" "GO:0042609" "CD4 receptor binding" 0.00748946616663165 "ENSMUSG00000024610" 3 1 0.000336506105182194 0.333333333333333 "M1" "Cd74"
"65" "GO:MF" "GO:0015643" "toxic substance binding" 0.00748946616663165 "ENSMUSG00000073421" 2 1 0.000528795308143448 0.5 "M1" "H2-Ab1"
"66" "GO:MF" "GO:1990405" "protein antigen binding" 0.00748946616663165 "ENSMUSG00000073421" 2 1 0.000528795308143448 0.5 "M1" "H2-Ab1"
