"Cluster" "Category" "ID" "Description" "FDR" "query_size" "Count" "term_size" "effective_domain_size" "GeneRatio" "BgRatio"
"cluster_3" "REAC" "REAC:R-MMU-3000178" "ECM proteoglycans" 0.00575146073116792 36 4 40 8631 0.111111111111111 0.00463445718920171
"cluster_3" "REAC" "REAC:R-MMU-1474290" "Collagen formation" 0.00793344512962968 36 5 88 8631 0.138888888888889 0.0101958058162438
"cluster_3" "REAC" "REAC:R-MMU-397014" "Muscle contraction" 0.0116253652580254 36 6 158 8631 0.166666666666667 0.0183061058973468
"cluster_3" "REAC" "REAC:R-MMU-1442490" "Collagen degradation" 0.0190926124242341 36 4 54 8631 0.111111111111111 0.00625651720542232
"cluster_3" "REAC" "REAC:R-MMU-2022090" "Assembly of collagen fibrils and other multimeric structures" 0.0328880985928575 36 4 62 8631 0.111111111111111 0.00718340864326266
"cluster_3" "REAC" "REAC:R-MMU-8874081" "MET activates PTK2 signaling" 0.0445683102541622 36 3 26 8631 0.0833333333333333 0.00301239717298111
"cluster_3" "WP" "WP:WP3855" "Dysregulated miRNA Targeting in Insulin/PI3K-AKT Signaling" 0.0160489313048463 27 3 26 4526 0.111111111111111 0.00574458683163942
"cluster_3" "WP" "WP:WP458" "Inflammatory Response Pathway" 0.0246653742704021 27 3 30 4526 0.111111111111111 0.0066283694211224
"cluster_4" "GO:CC" "GO:0005865" "striated muscle thin filament" 0.0422643909102248 40 2 6 7218 0.05 0.000831255195344971
"cluster_4" "GO:CC" "GO:0005861" "troponin complex" 0.0422643909102248 40 2 6 7218 0.05 0.000831255195344971
"cluster_4" "GO:CC" "GO:0036379" "myofilament" 0.0422643909102248 40 2 6 7218 0.05 0.000831255195344971
"cluster_4" "HP" "HP:0030718" "Right atrial enlargement" 0.00177545853704167 31 4 14 4637 0.129032258064516 0.00301919344403709
"cluster_4" "HP" "HP:0025580" "Abnormal right atrium morphology" 0.00177545853704167 31 4 14 4637 0.129032258064516 0.00301919344403709
"cluster_4" "HP" "HP:0031329" "Interstitial cardiac fibrosis" 0.00304805726566073 31 3 5 4637 0.0967741935483871 0.00107828337287039
"cluster_4" "HP" "HP:0030950" "Pulmonary venous hypertension" 0.016838204003986 31 3 8 4637 0.0967741935483871 0.00172525339659262
"cluster_4" "HP" "HP:0012764" "Orthopnea" 0.0250709244460127 31 4 26 4637 0.129032258064516 0.00560707353892603
"cluster_4" "HP" "HP:0012398" "Peripheral edema" 0.0251429225115503 31 3 9 4637 0.0967741935483871 0.0019409100711667
"cluster_4" "HP" "HP:0031295" "Left atrial enlargement" 0.0357558175051655 31 3 10 4637 0.0967741935483871 0.00215656674574078
"cluster_4" "KEGG" "KEGG:05410" "Hypertrophic cardiomyopathy" 0.00698171825127693 45 5 91 8787 0.111111111111111 0.0103562080345966
"cluster_4" "REAC" "REAC:R-MMU-390522" "Striated Muscle Contraction" 5.85095316775813e-06 48 6 33 8631 0.125 0.00382342718109141
"cluster_4" "REAC" "REAC:R-MMU-397014" "Muscle contraction" 4.6243758930532e-05 48 9 158 8631 0.1875 0.0183061058973468
"cluster_4" "TF" "TF:M10301_1" "Factor: MyoD; motif: NCAGCTGTYNCYNNC; match class: 1" 0.00371804094962324 107 14 643 21837 0.130841121495327 0.0294454366442277
"cluster_4" "TF" "TF:M09698_1" "Factor: MyoD; motif: SCAGCTGYYNCNNNC; match class: 1" 0.0161208755612667 107 22 1649 21837 0.205607476635514 0.0755140358107799
