"Cluster" "Category" "ID" "Description" "FDR" "query_size" "Count" "term_size" "effective_domain_size" "GeneRatio" "BgRatio" "enriched_terms" "CellType" "age"
"cluster_5" "REAC" "REAC:R-MMU-1474244" "Extracellular matrix organization" 0.000395471752043948 73 12 258 8631 0.164383561643836 0.0298922488703511 "Extracellular matrix organization" "ECs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-5173214" "O-glycosylation of TSR domain-containing proteins" 0.0498007088049871 73 4 34 8631 0.0547945205479452 0.00393928861082146 "O-glycosylation of TSR domain-containing proteins" "ECs" "Young"
"cluster_6" "GO:MF" "GO:0004499" "N,N-dimethylaniline monooxygenase activity" 0.000215685583555294 130 4 9 13399 0.0307692307692308 0.000671691917307262 "N,N-dimethylaniline monooxygenase activity" "ECs" "Young"
"cluster_6" "GO:MF" "GO:0003779" "actin binding" 0.00153922812231761 130 10 174 13399 0.0769230769230769 0.0129860437346071 "actin binding" "ECs" "Young"
"cluster_6" "GO:MF" "GO:0008092" "cytoskeletal protein binding" 0.00260923567067237 130 13 317 13399 0.1 0.0236584819762669 "cytoskeletal protein binding" "ECs" "Young"
"cluster_6" "GO:MF" "GO:0016709" "oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen" 0.00615332051174222 130 4 19 13399 0.0307692307692308 0.00141801626987089 "oxidoreductase activity, acting on paired donor..." "ECs" "Young"
"cluster_6" "GO:MF" "GO:0005488" "binding" 0.0068515924385219 130 101 8158 13399 0.776923076923077 0.608851406821405 "binding" "ECs" "Young"
"cluster_6" "REAC" "REAC:R-MMU-211859" "Biological oxidations" 0.0315508759767138 80 9 204 8631 0.1125 0.0236357316649287 "Biological oxidations" "ECs" "Young"
"cluster_1" "GO:BP" "GO:0007200" "phospholipase C-activating G protein-coupled receptor signaling pathway" 0.0496903603426272 63 2 3 11240 0.0317460317460317 0.000266903914590747 "phospholipase C-activating G protein-coupled re..." "FAPs" "Young"
"cluster_1" "GO:MF" "GO:0005201" "extracellular matrix structural constituent" 0.00500210006341276 92 4 24 13399 0.0434782608695652 0.0017911784461527 "extracellular matrix structural constituent" "FAPs" "Young"
"cluster_1" "GO:MF" "GO:0045028" "G protein-coupled purinergic nucleotide receptor activity" 0.00912171644311469 92 3 10 13399 0.0326086956521739 0.000746324352563624 "G protein-coupled purinergic nucleotide recepto..." "FAPs" "Young"
"cluster_1" "GO:MF" "GO:0016502" "nucleotide receptor activity" 0.0499183632465248 92 3 17 13399 0.0326086956521739 0.00126875139935816 "nucleotide receptor activity" "FAPs" "Young"
"cluster_1" "GO:MF" "GO:0001614" "purinergic nucleotide receptor activity" 0.0499183632465248 92 3 17 13399 0.0326086956521739 0.00126875139935816 "purinergic nucleotide receptor activity" "FAPs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-2214320" "Anchoring fibril formation" 2.20545754228415e-05 80 5 13 8631 0.0625 0.00150619858649056 "Anchoring fibril formation" "FAPs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-2243919" "Crosslinking of collagen fibrils" 7.32382264300994e-05 80 5 16 8631 0.0625 0.00185378287568069 "Crosslinking of collagen fibrils" "FAPs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-3000157" "Laminin interactions" 0.000672451507603218 80 5 24 8631 0.0625 0.00278067431352103 "Laminin interactions" "FAPs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-419037" "NCAM1 interactions" 0.00447627278428204 80 4 17 8631 0.05 0.00196964430541073 "NCAM1 interactions" "FAPs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-1650814" "Collagen biosynthesis and modifying enzymes" 0.00481451591679095 80 6 59 8631 0.075 0.00683582435407253 "Collagen biosynthesis and modifying enzymes" "FAPs" "Young"
"cluster_2" "GO:BP" "GO:0002376" "immune system process" 0.0346453626659564 76 10 331 11240 0.131578947368421 0.0294483985765125 "immune system process" "FAPs" "Young"
"cluster_2" "REAC" "REAC:R-MMU-1474244" "Extracellular matrix organization" 0.0131889369289605 72 10 258 8631 0.138888888888889 0.0298922488703511 "Extracellular matrix organization" "FAPs" "Young"
"cluster_3" "GO:BP" "GO:0007049" "cell cycle" 1.75404321933665e-23 160 33 202 11240 0.20625 0.0179715302491103 "cell cycle" "FAPs" "Young"
"cluster_3" "GO:BP" "GO:0022402" "cell cycle process" 4.84649812123768e-22 160 28 141 11240 0.175 0.0125444839857651 "cell cycle process" "FAPs" "Young"
"cluster_3" "GO:BP" "GO:1903047" "mitotic cell cycle process" 5.93306481320661e-21 160 21 65 11240 0.13125 0.00578291814946619 "mitotic cell cycle process" "FAPs" "Young"
"cluster_3" "GO:BP" "GO:0000278" "mitotic cell cycle" 2.78413765706979e-20 160 22 80 11240 0.1375 0.00711743772241993 "mitotic cell cycle" "FAPs" "Young"
"cluster_3" "GO:BP" "GO:0007059" "chromosome segregation" 2.11879882162118e-13 160 15 54 11240 0.09375 0.00480427046263345 "chromosome segregation" "FAPs" "Young"
"cluster_3" "GO:MF" "GO:0046982" "protein heterodimerization activity" 4.92557645874596e-18 167 23 128 13399 0.137724550898204 0.00955295171281439 "protein heterodimerization activity" "FAPs" "Young"
"cluster_3" "GO:MF" "GO:0003677" "DNA binding" 3.21148055659105e-14 167 47 957 13399 0.281437125748503 0.0714232405403388 "DNA binding" "FAPs" "Young"
"cluster_3" "GO:MF" "GO:0046983" "protein dimerization activity" 7.48105167534016e-12 167 25 292 13399 0.149700598802395 0.0217926710948578 "protein dimerization activity" "FAPs" "Young"
"cluster_3" "GO:MF" "GO:0097159" "organic cyclic compound binding" 1.36616391522143e-11 167 87 3353 13399 0.520958083832335 0.250242555414583 "organic cyclic compound binding" "FAPs" "Young"
"cluster_3" "GO:MF" "GO:1901363" "heterocyclic compound binding" 4.05705778599789e-11 167 86 3347 13399 0.514970059880239 0.249794760803045 "heterocyclic compound binding" "FAPs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-1640170" "Cell Cycle" 1.71353665330235e-57 167 88 577 8631 0.526946107784431 0.0668520449542347 "Cell Cycle" "FAPs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-69278" "Cell Cycle, Mitotic" 8.31704676247898e-53 167 80 500 8631 0.479041916167665 0.0579307148650214 "Cell Cycle, Mitotic" "FAPs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-68886" "M Phase" 7.19417232561454e-37 167 60 385 8631 0.359281437125749 0.0446066504460665 "M Phase" "FAPs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-69620" "Cell Cycle Checkpoints" 1.05823966251865e-35 167 52 275 8631 0.311377245508982 0.0318618931757618 "Cell Cycle Checkpoints" "FAPs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-73886" "Chromosome Maintenance" 5.58626914632856e-25 167 32 127 8631 0.191616766467066 0.0147144015757154 "Chromosome Maintenance" "FAPs" "Young"
"cluster_5" "GO:BP" "GO:0007275" "multicellular organism development" 0.000353872691540101 111 15 326 11240 0.135135135135135 0.0290035587188612 "multicellular organism development" "FAPs" "Young"
"cluster_5" "GO:BP" "GO:0048856" "anatomical structure development" 0.00223527634465035 111 16 428 11240 0.144144144144144 0.0380782918149466 "anatomical structure development" "FAPs" "Young"
"cluster_5" "GO:BP" "GO:0048731" "system development" 0.00339153369851138 111 12 251 11240 0.108108108108108 0.0223309608540925 "system development" "FAPs" "Young"
"cluster_5" "GO:BP" "GO:0032502" "developmental process" 0.00496567748707744 111 18 565 11240 0.162162162162162 0.0502669039145907 "developmental process" "FAPs" "Young"
"cluster_5" "GO:BP" "GO:0048513" "animal organ development" 0.00642771984156257 111 8 110 11240 0.0720720720720721 0.0097864768683274 "animal organ development" "FAPs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-2129379" "Molecules associated with elastic fibres" 0.00698295548211262 97 5 31 8631 0.0515463917525773 0.00359170432163133 "Molecules associated with elastic fibres" "FAPs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-1566948" "Elastic fibre formation" 0.0169843277219213 97 5 37 8631 0.0515463917525773 0.00428687290001159 "Elastic fibre formation" "FAPs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-9034013" "NTF3 activates NTRK3 signaling" 0.0400697341432005 97 2 2 8631 0.0206185567010309 0.000231722859460086 "NTF3 activates NTRK3 signaling" "FAPs" "Young"
"cluster_5" "REAC" "REAC:R-MMU-1474244" "Extracellular matrix organization" 0.0450745569940057 97 11 258 8631 0.11340206185567 0.0298922488703511 "Extracellular matrix organization" "FAPs" "Young"
"cluster_1" "GO:BP" "GO:0042060" "wound healing" 0.0229427151337699 68 4 34 11240 0.0588235294117647 0.00302491103202847 "wound healing" "M1" "Young"
"cluster_1" "GO:BP" "GO:0050878" "regulation of body fluid levels" 0.025785456786932 68 4 35 11240 0.0588235294117647 0.00311387900355872 "regulation of body fluid levels" "M1" "Young"
"cluster_1" "GO:BP" "GO:0009611" "response to wounding" 0.0358585147441562 68 4 38 11240 0.0588235294117647 0.00338078291814947 "response to wounding" "M1" "Young"
"cluster_1" "GO:MF" "GO:0005125" "cytokine activity" 0.00115982573544101 81 6 73 13399 0.0740740740740741 0.00544816777371446 "cytokine activity" "M1" "Young"
"cluster_1" "GO:MF" "GO:0042379" "chemokine receptor binding" 0.0201822637425098 81 4 39 13399 0.0493827160493827 0.00291066497499813 "chemokine receptor binding" "M1" "Young"
"cluster_1" "GO:MF" "GO:0008009" "chemokine activity" 0.0201822637425098 81 4 39 13399 0.0493827160493827 0.00291066497499813 "chemokine activity" "M1" "Young"
"cluster_1" "REAC" "REAC:R-MMU-6798695" "Neutrophil degranulation" 0.000109111730485403 71 17 500 8631 0.23943661971831 0.0579307148650214 "Neutrophil degranulation" "M1" "Young"
"cluster_1" "REAC" "REAC:R-MMU-380108" "Chemokine receptors bind chemokines" 0.0157126500092476 71 5 51 8631 0.0704225352112676 0.00590893291623219 "Chemokine receptors bind chemokines" "M1" "Young"
"cluster_1" "REAC" "REAC:R-MMU-375276" "Peptide ligand-binding receptors" 0.0315149706776644 71 8 182 8631 0.112676056338028 0.0210867802108678 "Peptide ligand-binding receptors" "M1" "Young"
"cluster_1" "REAC" "REAC:R-MMU-373076" "Class A/1 (Rhodopsin-like receptors)" 0.0333683891571238 71 10 291 8631 0.140845070422535 0.0337156760514425 "Class A/1 (Rhodopsin-like receptors)" "M1" "Young"
"cluster_2" "GO:BP" "GO:0019882" "antigen processing and presentation" 0.000228813680101048 88 5 20 11240 0.0568181818181818 0.00177935943060498 "antigen processing and presentation" "M1" "Young"
"cluster_2" "REAC" "REAC:R-MMU-390522" "Striated Muscle Contraction" 4.33896444816687e-06 79 7 33 8631 0.0886075949367089 0.00382342718109141 "Striated Muscle Contraction" "M1" "Young"
"cluster_2" "REAC" "REAC:R-MMU-3000178" "ECM proteoglycans" 0.00866801295956661 79 5 40 8631 0.0632911392405063 0.00463445718920171 "ECM proteoglycans" "M1" "Young"
"cluster_2" "REAC" "REAC:R-MMU-397014" "Muscle contraction" 0.0274135035455661 79 8 158 8631 0.10126582278481 0.0183061058973468 "Muscle contraction" "M1" "Young"
"cluster_1" "GO:MF" "GO:0032550" "purine ribonucleoside binding" 0.0352155187051696 25 5 313 13399 0.2 0.0233599522352414 "purine ribonucleoside binding" "M2" "Young"
"cluster_1" "GO:MF" "GO:0005525" "GTP binding" 0.0352155187051696 25 5 313 13399 0.2 0.0233599522352414 "GTP binding" "M2" "Young"
"cluster_1" "GO:MF" "GO:0001883" "purine nucleoside binding" 0.0352155187051696 25 5 313 13399 0.2 0.0233599522352414 "purine nucleoside binding" "M2" "Young"
"cluster_1" "GO:MF" "GO:0032549" "ribonucleoside binding" 0.0368082676445558 25 5 316 13399 0.2 0.0235838495410105 "ribonucleoside binding" "M2" "Young"
"cluster_1" "GO:MF" "GO:0001882" "nucleoside binding" 0.0368082676445558 25 5 316 13399 0.2 0.0235838495410105 "nucleoside binding" "M2" "Young"
"cluster_1" "GO:MF" "GO:0032561" "guanyl ribonucleotide binding" 0.0368082676445558 25 5 316 13399 0.2 0.0235838495410105 "guanyl ribonucleotide binding" "M2" "Young"
"cluster_2" "GO:MF" "GO:0005504" "fatty acid binding" 0.0300363526690821 63 2 4 13399 0.0317460317460317 0.00029852974102545 "fatty acid binding" "M2" "Young"
"cluster_2" "REAC" "REAC:R-MMU-109582" "Hemostasis" 0.0337891357526809 58 13 587 8631 0.224137931034483 0.0680106592515352 "Hemostasis" "M2" "Young"
"cluster_3" "REAC" "REAC:R-MMU-1650814" "Collagen biosynthesis and modifying enzymes" 0.00110604214063236 36 5 59 8631 0.138888888888889 0.00683582435407253 "Collagen biosynthesis and modifying enzymes" "M2" "Young"
"cluster_3" "REAC" "REAC:R-MMU-1474244" "Extracellular matrix organization" 0.00229937534034057 36 8 258 8631 0.222222222222222 0.0298922488703511 "Extracellular matrix organization" "M2" "Young"
"cluster_3" "REAC" "REAC:R-MMU-390522" "Striated Muscle Contraction" 0.00262930624136868 36 4 33 8631 0.111111111111111 0.00382342718109141 "Striated Muscle Contraction" "M2" "Young"
"cluster_3" "REAC" "REAC:R-MMU-8948216" "Collagen chain trimerization" 0.00467307529336741 36 4 38 8631 0.111111111111111 0.00440273432974163 "Collagen chain trimerization" "M2" "Young"
"cluster_3" "REAC" "REAC:R-MMU-3000178" "ECM proteoglycans" 0.00575146073116792 36 4 40 8631 0.111111111111111 0.00463445718920171 "ECM proteoglycans" "M2" "Young"
"cluster_4" "REAC" "REAC:R-MMU-390522" "Striated Muscle Contraction" 5.85095316775813e-06 48 6 33 8631 0.125 0.00382342718109141 "Striated Muscle Contraction" "M2" "Young"
"cluster_4" "REAC" "REAC:R-MMU-397014" "Muscle contraction" 4.6243758930532e-05 48 9 158 8631 0.1875 0.0183061058973468 "Muscle contraction" "M2" "Young"
"cluster_1" "GO:MF" "GO:0003779" "actin binding" 0.00237406849352338 134 10 174 13399 0.0746268656716418 0.0129860437346071 "actin binding" "sCs" "Young"
"cluster_1" "GO:MF" "GO:0008092" "cytoskeletal protein binding" 0.00426965815654966 134 13 317 13399 0.0970149253731343 0.0236584819762669 "cytoskeletal protein binding" "sCs" "Young"
"cluster_1" "GO:MF" "GO:0051015" "actin filament binding" 0.00782738308044468 134 6 61 13399 0.0447761194029851 0.00455257855063811 "actin filament binding" "sCs" "Young"
"cluster_1" "GO:MF" "GO:0003774" "motor activity" 0.0213386542204476 134 7 105 13399 0.0522388059701493 0.00783640570191805 "motor activity" "sCs" "Young"
"cluster_1" "GO:MF" "GO:0005515" "protein binding" 0.031829864701612 134 62 4143 13399 0.462686567164179 0.309202179267109 "protein binding" "sCs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-390522" "Striated Muscle Contraction" 7.60028467530189e-15 76 12 33 8631 0.157894736842105 0.00382342718109141 "Striated Muscle Contraction" "sCs" "Young"
"cluster_1" "REAC" "REAC:R-MMU-397014" "Muscle contraction" 8.78949220397672e-11 76 16 158 8631 0.210526315789474 0.0183061058973468 "Muscle contraction" "sCs" "Young"
"cluster_2" "GO:BP" "GO:0042310" "vasoconstriction" 0.0171332418563752 103 4 20 11240 0.0388349514563107 0.00177935943060498 "vasoconstriction" "sCs" "Young"
"cluster_2" "GO:BP" "GO:0048483" "autonomic nervous system development" 0.0495032978752133 103 2 2 11240 0.0194174757281553 0.000177935943060498 "autonomic nervous system development" "sCs" "Young"
"cluster_2" "GO:BP" "GO:0048484" "enteric nervous system development" 0.0495032978752133 103 2 2 11240 0.0194174757281553 0.000177935943060498 "enteric nervous system development" "sCs" "Young"
"cluster_2" "GO:MF" "GO:0004962" "endothelin receptor activity" 0.0198580448562536 128 2 2 13399 0.015625 0.000149264870512725 "endothelin receptor activity" "sCs" "Young"
"cluster_3" "GO:BP" "GO:0006816" "calcium ion transport" 0.000108723644906389 158 9 65 11240 0.0569620253164557 0.00578291814946619 "calcium ion transport" "sCs" "Young"
"cluster_3" "GO:BP" "GO:0006812" "cation transport" 0.000657410849775705 158 18 346 11240 0.113924050632911 0.0307829181494662 "cation transport" "sCs" "Young"
"cluster_3" "GO:BP" "GO:0030001" "metal ion transport" 0.00255676889055521 158 9 94 11240 0.0569620253164557 0.00836298932384342 "metal ion transport" "sCs" "Young"
"cluster_3" "GO:BP" "GO:0006811" "ion transport" 0.00446603690361659 158 30 924 11240 0.189873417721519 0.0822064056939502 "ion transport" "sCs" "Young"
"cluster_3" "GO:BP" "GO:0051179" "localization" 0.00529620270664479 158 41 1494 11240 0.259493670886076 0.132918149466192 "localization" "sCs" "Young"
"cluster_3" "GO:MF" "GO:0015085" "calcium ion transmembrane transporter activity" 3.40662198544155e-05 216 9 54 13399 0.0416666666666667 0.00403015150384357 "calcium ion transmembrane transporter activity" "sCs" "Young"
"cluster_3" "GO:MF" "GO:0005515" "protein binding" 0.000942870973564498 216 98 4143 13399 0.453703703703704 0.309202179267109 "protein binding" "sCs" "Young"
"cluster_3" "GO:MF" "GO:0046873" "metal ion transmembrane transporter activity" 0.000974394285309679 216 15 231 13399 0.0694444444444444 0.0172400925442197 "metal ion transmembrane transporter activity" "sCs" "Young"
"cluster_3" "GO:MF" "GO:0015075" "ion transmembrane transporter activity" 0.00620008122947151 216 22 517 13399 0.101851851851852 0.0385849690275394 "ion transmembrane transporter activity" "sCs" "Young"
"cluster_3" "GO:MF" "GO:0015318" "inorganic molecular entity transmembrane transporter activity" 0.0103704866285676 216 20 459 13399 0.0925925925925926 0.0342562877826703 "inorganic molecular entity transmembrane transp..." "sCs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-397014" "Muscle contraction" 0.000245150398157037 133 13 158 8631 0.0977443609022556 0.0183061058973468 "Muscle contraction" "sCs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-5576891" "Cardiac conduction" 0.00129508794071282 133 10 105 8631 0.075187969924812 0.0121654501216545 "Cardiac conduction" "sCs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-5578775" "Ion homeostasis" 0.00292804080520745 133 7 50 8631 0.0526315789473684 0.00579307148650214 "Ion homeostasis" "sCs" "Young"
"cluster_3" "REAC" "REAC:R-MMU-2129379" "Molecules associated with elastic fibres" 0.0286777655517206 133 5 31 8631 0.037593984962406 0.00359170432163133 "Molecules associated with elastic fibres" "sCs" "Young"
"cluster_4" "GO:MF" "GO:0005509" "calcium ion binding" 0.00810173903326803 105 15 560 13399 0.142857142857143 0.0417941637435629 "calcium ion binding" "sCs" "Young"
"cluster_4" "GO:MF" "GO:0046872" "metal ion binding" 0.0313704982499626 105 26 1546 13399 0.247619047619048 0.115381744906336 "metal ion binding" "sCs" "Young"
"cluster_4" "GO:MF" "GO:0043169" "cation binding" 0.0408307679461674 105 26 1571 13399 0.247619047619048 0.117247555787745 "cation binding" "sCs" "Young"
"cluster_5" "GO:BP" "GO:0016053" "organic acid biosynthetic process" 4.57784179248035e-05 84 7 50 11240 0.0833333333333333 0.00444839857651246 "organic acid biosynthetic process" "sCs" "Young"
"cluster_5" "GO:BP" "GO:0046394" "carboxylic acid biosynthetic process" 4.57784179248035e-05 84 7 50 11240 0.0833333333333333 0.00444839857651246 "carboxylic acid biosynthetic process" "sCs" "Young"
"cluster_5" "GO:BP" "GO:0008652" "cellular amino acid biosynthetic process" 0.000462199198817589 84 5 24 11240 0.0595238095238095 0.00213523131672598 "cellular amino acid biosynthetic process" "sCs" "Young"
"cluster_5" "GO:BP" "GO:1901607" "alpha-amino acid biosynthetic process" 0.000462199198817589 84 5 24 11240 0.0595238095238095 0.00213523131672598 "alpha-amino acid biosynthetic process" "sCs" "Young"
"cluster_5" "GO:BP" "GO:0044283" "small molecule biosynthetic process" 0.000840439512228878 84 8 109 11240 0.0952380952380952 0.00969750889679715 "small molecule biosynthetic process" "sCs" "Young"
